target_id	length	eff_length	Adur_4	Adur_4_tpm
arahy.Tifrunner.gnm2.ann1.NC1EXA.1	576	396.052	0	0
arahy.Tifrunner.gnm2.ann1.K3U1RD.1	2811	2630.6	3.2233	0.0158174
arahy.Tifrunner.gnm2.ann1.U3PQ4N.1	1476	1295.6	32	0.318835
arahy.Tifrunner.gnm2.ann1.BDSN0J.1	300	128.139	0	0
arahy.Tifrunner.gnm2.ann1.PFN41B.1	2121	1940.6	849	5.64754
arahy.Tifrunner.gnm2.ann1.G8PY79.3	2151	1970.6	14.3062	0.0937161
arahy.Tifrunner.gnm2.ann1.F8ILKH.1	879	698.643	265	4.89643
arahy.Tifrunner.gnm2.ann1.7LSJ26.1	2727	2546.6	210.577	1.06743
arahy.Tifrunner.gnm2.ann1.DEG7JK.1	426	247.153	0	0
arahy.Tifrunner.gnm2.ann1.EHW2CP.1	204	52.3704	0	0
arahy.Tifrunner.gnm2.ann1.3ZE8DZ.1	357	180.526	9	0.643563
arahy.Tifrunner.gnm2.ann1.LMDE4E.1	1782	1601.6	7	0.0564198
arahy.Tifrunner.gnm2.ann1.DS477V.1	1410	1229.6	42.0547	0.441508
arahy.Tifrunner.gnm2.ann1.C0950A.1	561	381.062	0	0
arahy.Tifrunner.gnm2.ann1.HG2532.2	1119	938.605	1	0.0137533
arahy.Tifrunner.gnm2.ann1.WUL5PS.2	1482	1301.6	1.26326	0.0125286
arahy.Tifrunner.gnm2.ann1.UVE7PI.1	687	506.964	0	0
arahy.Tifrunner.gnm2.ann1.8XA69V.1	273	104.604	0	0
arahy.Tifrunner.gnm2.ann1.CFM630.1	981	800.625	0	0
arahy.Tifrunner.gnm2.ann1.9Z6I10.1	585	405.052	3.49425	0.111361
arahy.Tifrunner.gnm2.ann1.IFCS5G.1	267	99.5252	0	0
arahy.Tifrunner.gnm2.ann1.2R0TK7.1	1206	1025.6	158.993	2.00118
arahy.Tifrunner.gnm2.ann1.5497SD.1	1221	1040.6	668.051	8.28729
arahy.Tifrunner.gnm2.ann1.RWWV81.1	1830	1649.6	245.565	1.92166
arahy.Tifrunner.gnm2.ann1.NRRA5I.1	243	80.4568	0	0
arahy.Tifrunner.gnm2.ann1.1QRJ4L.1	729	548.897	0	0
arahy.Tifrunner.gnm2.ann1.T35FHV.1	3006	2825.6	531.679	2.429
arahy.Tifrunner.gnm2.ann1.Y4UZBH.1	264	97.0858	0	0
arahy.Tifrunner.gnm2.ann1.2PS7IJ.1	1317	1136.6	5.48199	0.0622612
arahy.Tifrunner.gnm2.ann1.CGBE6F.1	4539	4358.6	12.3749	0.0366508
arahy.Tifrunner.gnm2.ann1.LT4TK7.1	699	518.964	0	0
arahy.Tifrunner.gnm2.ann1.W1607K.1	1392	1211.6	23	0.245051
arahy.Tifrunner.gnm2.ann1.71FTPI.1	1113	932.605	0	0
arahy.Tifrunner.gnm2.ann1.PRFH10.1	237	75.7945	0	0
arahy.Tifrunner.gnm2.ann1.I2ZJD2.1	663	482.976	156.656	4.18706
arahy.Tifrunner.gnm2.ann1.U81MKX.1	1965	1784.6	19.8	0.143223
arahy.Tifrunner.gnm2.ann1.HVKI9W.1	1704	1523.6	137.686	1.16655
arahy.Tifrunner.gnm2.ann1.820J93.1	1269	1088.6	0	0
arahy.Tifrunner.gnm2.ann1.DP3R7M.1	1707	1526.6	9.10751	0.0770127
arahy.Tifrunner.gnm2.ann1.SR535B.1	735	554.897	0	0
arahy.Tifrunner.gnm2.ann1.81UYU3.2	1056	875.605	21.6588	0.319311
arahy.Tifrunner.gnm2.ann1.X7WWLG.1	2733	2552.6	0	0
arahy.Tifrunner.gnm2.ann1.DI7635.1	831	650.777	78.6546	1.5602
arahy.Tifrunner.gnm2.ann1.CCNW4C.1	1464	1283.6	0	0
arahy.Tifrunner.gnm2.ann1.EWV5Y4.1	672	491.964	18.233	0.478425
arahy.Tifrunner.gnm2.ann1.CACA61.1	2019	1838.6	0	0
arahy.Tifrunner.gnm2.ann1.7CLK78.1	1821	1640.6	1	0.00786837
arahy.Tifrunner.gnm2.ann1.IMB0BX.1	546	366.099	0	0
arahy.Tifrunner.gnm2.ann1.UKC1QQ.1	1956	1775.6	484	3.51875
arahy.Tifrunner.gnm2.ann1.YF6UR5.1	504	324.338	0	0
arahy.Tifrunner.gnm2.ann1.JML2SU.1	1878	1697.6	3	0.0228125
