target_id	length	eff_length	Adur_3	Adur_3_tpm
arahy.Tifrunner.gnm2.ann1.QC3XVA.1	2331	2144.64	384.985	2.77609
arahy.Tifrunner.gnm2.ann1.B5I3IH.1	942	755.637	0	0
arahy.Tifrunner.gnm2.ann1.Y4AI5Q.1	249	81.2769	0	0
arahy.Tifrunner.gnm2.ann1.BXGR3K.1	861	674.652	68.9638	1.58083
arahy.Tifrunner.gnm2.ann1.5XEL3K.1	816	629.652	131.544	3.23082
arahy.Tifrunner.gnm2.ann1.F2D2KM.1	204	49.5493	1	0.312109
arahy.Tifrunner.gnm2.ann1.SIQ1MV.1	1512	1325.64	0	0
arahy.Tifrunner.gnm2.ann1.QI357H.1	822	635.652	9.04889	0.220151
arahy.Tifrunner.gnm2.ann1.AVG2RT.1	1305	1118.64	4	0.0552987
arahy.Tifrunner.gnm2.ann1.SRJ81T.1	1605	1418.64	617.686	6.73349
arahy.Tifrunner.gnm2.ann1.ERHS70.1	546	359.894	0	0
arahy.Tifrunner.gnm2.ann1.57Y9Y2.1	915	728.652	707.34	15.0125
arahy.Tifrunner.gnm2.ann1.VSW4LH.1	1467	1280.64	0	0
arahy.Tifrunner.gnm2.ann1.PL87MH.1	348	166.431	0	0
arahy.Tifrunner.gnm2.ann1.CBB0MY.1	1572	1385.64	1116.16	12.4572
arahy.Tifrunner.gnm2.ann1.ZUD52U.1	624	437.809	0	0
arahy.Tifrunner.gnm2.ann1.50L6WD.1	1455	1268.64	266.101	3.24379
arahy.Tifrunner.gnm2.ann1.7GC0T1.1	2250	2063.64	0	0
arahy.Tifrunner.gnm2.ann1.TJZR4S.1	1602	1415.64	50	0.546213
arahy.Tifrunner.gnm2.ann1.AD5FFG.1	414	229.276	201	13.5576
arahy.Tifrunner.gnm2.ann1.A89GZ1.1	1707	1520.64	302.741	3.07886
arahy.Tifrunner.gnm2.ann1.E0PWE1.1	987	800.637	1	0.0193156
arahy.Tifrunner.gnm2.ann1.CP2V1N.1_arahy.Tifrunner.gnm2.ann1.TN4W22.1	750	563.689	15	0.411525
arahy.Tifrunner.gnm2.ann1.NJ1LAT.1	300	123.185	0	0
arahy.Tifrunner.gnm2.ann1.35HI1V.1	480	294.261	991	52.0816
arahy.Tifrunner.gnm2.ann1.SSU5GD.1	1125	938.637	16	0.263613
arahy.Tifrunner.gnm2.ann1.HP7BC0.1	1323	1136.64	9.09925	0.123802
arahy.Tifrunner.gnm2.ann1.ICIJ2U.2	1299	1112.64	108.136	1.50301
arahy.Tifrunner.gnm2.ann1.HIDG7R.1	681	494.753	0	0
arahy.Tifrunner.gnm2.ann1.5M7JWE.1	1101	914.637	273.711	4.62794
arahy.Tifrunner.gnm2.ann1.ALH963.1	2853	2666.64	863.891	5.01001
arahy.Tifrunner.gnm2.ann1.IGF4QT.1	459	273.493	139	7.85981
arahy.Tifrunner.gnm2.ann1.N1IBZF.1	1422	1235.64	3.0984	0.0387785
arahy.Tifrunner.gnm2.ann1.282NXT.2	771	584.689	19.2959	0.510368
arahy.Tifrunner.gnm2.ann1.PF9IHL.1	4419	4232.64	1182.99	4.32229
arahy.Tifrunner.gnm2.ann1.UIS3VC.1	549	362.887	0	0
arahy.Tifrunner.gnm2.ann1.5C0RMJ.1	1437	1250.64	25.6773	0.317514
arahy.Tifrunner.gnm2.ann1.97EUYU.2	432	246.899	83	5.19879
arahy.Tifrunner.gnm2.ann1.Y4YZQQ.1	675	488.762	26	0.822658
arahy.Tifrunner.gnm2.ann1.S5Z9V6.1	1197	1010.64	206.161	3.15468
arahy.Tifrunner.gnm2.ann1.49QQGD.1	990	803.637	18	0.346383
arahy.Tifrunner.gnm2.ann1.UFMA6A.1	249	81.2769	5.53398	1.05297
arahy.Tifrunner.gnm2.ann1.GD16NN.1	798	611.677	0	0
arahy.Tifrunner.gnm2.ann1.3I834E.1	861	674.652	0	0
arahy.Tifrunner.gnm2.ann1.3M5GW1.1	324	144.44	0	0
arahy.Tifrunner.gnm2.ann1.7L9N0K.1	1176	989.637	20.472	0.319911
arahy.Tifrunner.gnm2.ann1.PI58T4.1	438	252.784	0	0
arahy.Tifrunner.gnm2.ann1.0GE1ZU.1	669	482.782	58	1.85789
arahy.Tifrunner.gnm2.ann1.1H7P3M.1	867	680.652	0	0
arahy.Tifrunner.gnm2.ann1.AFM6H1.1	885	698.652	0	0
arahy.Tifrunner.gnm2.ann1.XEFQ2J.1	207	51.5924	0	0
arahy.Tifrunner.gnm2.ann1.9W3K41.1	1398	1211.64	10	0.127635
arahy.Tifrunner.gnm2.ann1.86A1BZ.1	477	291.285	0	0
arahy.Tifrunner.gnm2.ann1.1Z1K26.1	918	731.652	9.17167	0.19386
arahy.Tifrunner.gnm2.ann1.CSM94Q.2	1332	1145.64	16.5959	0.224025
arahy.Tifrunner.gnm2.ann1.Q2BBVU.1	348	166.431	0	0
arahy.Tifrunner.gnm2.ann1.49CV5E.1	342	160.823	0	0
arahy.Tifrunner.gnm2.ann1.JS1PTX.1	1887	1700.64	40.5	0.368288
arahy.Tifrunner.gnm2.ann1.F8HH5F.1	255	85.9532	0	0
arahy.Tifrunner.gnm2.ann1.GHTC3Q.1	615	428.809	20.0064	0.721521
arahy.Tifrunner.gnm2.ann1.SHSL16.1	1935	1748.64	30	0.265317
arahy.Tifrunner.gnm2.ann1.YH938E.2	324	144.44	0	0
arahy.Tifrunner.gnm2.ann1.YXX8CM.1	609	422.809	0	0
arahy.Tifrunner.gnm2.ann1.VDQ67E.1	1350	1163.64	90	1.1961
arahy.Tifrunner.gnm2.ann1.33LHWC.1	609	422.809	0	0
arahy.Tifrunner.gnm2.ann1.KQ3EB3.1	1107	920.637	0	0
arahy.Tifrunner.gnm2.ann1.K3YHKD.1	915	728.652	0	0
arahy.Tifrunner.gnm2.ann1.A6X2CD.1	1212	1025.64	893	13.4649
arahy.Tifrunner.gnm2.ann1.0Y513H.1	1524	1337.64	7.17822	0.0829893
arahy.Tifrunner.gnm2.ann1.YQ8C5N.1	2808	2621.64	4654.58	27.4569
arahy.Tifrunner.gnm2.ann1.H3V410.1	1269	1082.64	0	0
arahy.Tifrunner.gnm2.ann1.B7BSQF.1	1281	1094.64	51.5566	0.72838
arahy.Tifrunner.gnm2.ann1.5IU4RA.1	270	97.958	5.17294	0.81666
arahy.Tifrunner.gnm2.ann1.NC1EXA.1	576	389.857	0	0
arahy.Tifrunner.gnm2.ann1.K3U1RD.1	2811	2624.64	6.14863	0.0362287
arahy.Tifrunner.gnm2.ann1.U3PQ4N.1	1476	1289.64	44	0.527629
arahy.Tifrunner.gnm2.ann1.BDSN0J.1	300	123.185	6	0.753245
arahy.Tifrunner.gnm2.ann1.PFN41B.1	2121	1934.64	1850.55	14.7926
arahy.Tifrunner.gnm2.ann1.G8PY79.3	2151	1964.64	47.475	0.373703
arahy.Tifrunner.gnm2.ann1.F8ILKH.1	879	692.652	310.645	6.93574
arahy.Tifrunner.gnm2.ann1.7LSJ26.1	2727	2540.64	213.807	1.30144
arahy.Tifrunner.gnm2.ann1.DEG7JK.1	426	241.007	0	0
arahy.Tifrunner.gnm2.ann1.EHW2CP.1	204	49.5493	0	0
arahy.Tifrunner.gnm2.ann1.3ZE8DZ.1	357	174.847	12	1.06137
arahy.Tifrunner.gnm2.ann1.LMDE4E.1	1782	1595.64	26	0.25199
arahy.Tifrunner.gnm2.ann1.DS477V.1	1410	1223.64	71.1683	0.899452
arahy.Tifrunner.gnm2.ann1.C0950A.1	561	374.887	0	0
arahy.Tifrunner.gnm2.ann1.HG2532.2	1119	932.637	0	0
arahy.Tifrunner.gnm2.ann1.WUL5PS.2	1482	1295.64	3.69986	0.0441617
arahy.Tifrunner.gnm2.ann1.UVE7PI.1	687	500.753	0	0
arahy.Tifrunner.gnm2.ann1.8XA69V.1	273	100.449	0	0
arahy.Tifrunner.gnm2.ann1.CFM630.1	981	794.637	0	0
arahy.Tifrunner.gnm2.ann1.9Z6I10.1	585	398.825	1.40645	0.0545364
arahy.Tifrunner.gnm2.ann1.IFCS5G.1	267	95.5198	2.12367	0.343826
arahy.Tifrunner.gnm2.ann1.2R0TK7.1	1206	1019.64	177.948	2.69893
arahy.Tifrunner.gnm2.ann1.5497SD.1	1221	1034.64	1006.18	15.0394
