response	term	estimate	std.error	statistic	p.value
tetMom	(Intercept)	-0.147156682844208	0.027709127108583	-5.31076573677509	1.09865973338083e-07
tetMom	DI	-1.18769762921301	0.550605918702091	-2.15707385059117	0.0310070529901966
tetMom	DNI	-0.0675468920820449	0.163662407228714	-0.412720876014305	0.679813788996518
tetMom	MI	-0.387784959801375	0.312315476920063	-1.24164503029297	0.214376317727366
tetMom	MNI	1.52896821030991	0.41931911902073	3.64631170140927	0.000266436984157442
tetMom	PI	-0.739169962162726	0.364764314791969	-2.02643167707972	0.0427285331787021
tetMom	PNI	0.154673571249184	0.191186074747864	0.809021114394274	0.418508789781362
tetMom	dipMom	0.595843710283738	0.0057274113987205	104.03368446989	0
tetMom	dipDad	0.119939457181686	0.00652826739657527	18.3723260546292	5.15008242492137e-75
tetMom	DI:dipMom	0.30999071399932	0.107280567601912	2.88953275442771	0.00386064095586335
tetMom	DNI:dipMom	0.0741107461949088	0.0243427237392178	3.0444722204817	0.00233271131068046
tetMom	MI:dipMom	0.132908224756073	0.0586076499206975	2.26776239852497	0.0233500795013403
tetMom	MNI:dipMom	-0.115972545547104	0.0741044884475137	-1.56498679063474	0.117595522600597
tetMom	PI:dipMom	0.111542748655667	0.0565646510864501	1.97195150174606	0.0486234178507646
tetMom	PNI:dipMom	0.0726237661789403	0.029136956733737	2.49249662010346	0.0126896819303125
tetMom	DI:dipDad	-0.0719228108139043	0.0919820579091748	-0.781922175354269	0.434265879387707
tetMom	DNI:dipDad	0.00322351401900046	0.0246708387377365	0.130660901044673	0.896044353962183
tetMom	MI:dipDad	-0.116131602418563	0.0667013097803598	-1.74106929535525	0.081680681438388
tetMom	MNI:dipDad	-0.520116502141912	0.0987077459434935	-5.26925721148226	1.37829382795322e-07
tetMom	PI:dipDad	0.111734877790382	0.047375321655857	2.35850383459229	0.0183545233299374
tetMom	PNI:dipDad	-0.133735070484415	0.0341723300007512	-3.91354849029828	9.11306551839163e-05
tetMom	dipMom:dipDad	0.017982833777405	0.000859638918206354	20.9190549619675	1.50651236507997e-96
tetMom	DI:dipMom:dipDad	-0.0155061376866702	0.0140541252123047	-1.10331574910791	0.269898054164528
tetMom	DNI:dipMom:dipDad	-0.00758234443828596	0.00274497948118002	-2.76225905886424	0.00574344292699052
tetMom	MI:dipMom:dipDad	0.00247008622075408	0.010362278808555	0.238372877857213	0.811593370388752
tetMom	MNI:dipMom:dipDad	0.0556441287308731	0.0140234090552441	3.96794591897502	7.26468091227783e-05
tetMom	PI:dipMom:dipDad	-0.0147572897044856	0.00453714875875521	-3.25254702658997	0.00114489659486182
tetMom	PNI:dipMom:dipDad	0.00393669581012276	0.00360602025019823	1.09170097142587	0.274972467910407
tetDad	(Intercept)	-0.0251760526082757	0.0285390471744617	-0.882161638206499	0.377695780542131
tetDad	DI	0.275030504906753	0.567097196053839	0.484979482918554	0.627694094248716
tetDad	DNI	0.197072570062804	0.168564283612509	1.16912412190372	0.242362007274065
tetDad	MI	1.10448741475646	0.321669682852453	3.43360743531145	0.000596331794661965
tetDad	MNI	1.51281176977108	0.431878206483795	3.50286665791237	0.000460883942115266
tetDad	PI	0.0369332339981571	0.375689423438521	0.098307888628121	0.921688406861023
tetDad	PNI	0.27801673939561	0.196912316470603	1.41188090404246	0.157994388836577
tetDad	dipMom	0.228589486205785	0.00589895392428308	38.7508512763245	2.49009085503988e-321
tetDad	dipDad	0.52813140158126	0.00672379647573423	78.5466073351943	0
tetDad	DI:dipMom	0.00188004191824996	0.11049374336825	0.017014917414683	0.986424817201905
tetDad	DNI:dipMom	-0.0249630969849426	0.0250718161718358	-0.995663689213893	0.319420823492727
tetDad	MI:dipMom	-0.0988451231030849	0.060363016103565	-1.63751133530995	0.101533134695892
tetDad	MNI:dipMom	-0.112449544034374	0.0763240026780872	-1.47331822347753	0.140674714799007
tetDad	PI:dipMom	-0.0498573679335236	0.0582588271163235	-0.855790794311307	0.392119674539716
tetDad	PNI:dipMom	-0.0752960450350437	0.0300096419308279	-2.50906176116999	0.0121099483130178
tetDad	DI:dipDad	0.0973123655254989	0.0947370258033457	1.02718408880071	0.30434126072586
tetDad	DNI:dipDad	0.0632879866842353	0.025409758590039	2.4906961024433	0.012754152026451
tetDad	MI:dipDad	-0.107762538973844	0.0686990903380146	-1.56861667954596	0.116746798802338
tetDad	MNI:dipDad	-0.310415039676386	0.101664155890842	-3.05333809105425	0.00226489578394902
tetDad	PI:dipDad	0.0672813119551729	0.0487942667534627	1.37887740572305	0.167941830584273
tetDad	PNI:dipDad	0.034916988003795	0.0351958303894253	0.992077402847296	0.321166987704103
tetDad	dipMom:dipDad	0.0136795524711896	0.000885386087535581	15.4503810978844	1.15287614878918e-53
tetDad	DI:dipMom:dipDad	-0.0183993199837129	0.0144750623452702	-1.27110471408263	0.203700290166684
tetDad	DNI:dipMom:dipDad	-0.00741952036978864	0.00282719475786231	-2.62434002792177	0.00868567399383791
tetDad	MI:dipMom:dipDad	0.00618815645447871	0.0106726409169589	0.579814921407661	0.562043362463281
tetDad	MNI:dipMom:dipDad	0.0272876443182215	0.0144434262041556	1.88927778856034	0.058863308536811
tetDad	PI:dipMom:dipDad	-0.00303771115220554	0.00467304155617218	-0.650050104560555	0.515664348124997
tetDad	PNI:dipMom:dipDad	0.000407817571009128	0.00371402468324576	0.10980475516192	0.912564882404406
