Category1	Category2	estimate	SE	df	t.ratio	p.value
AreNot-organelle-targeted	Dual-targeted_Interacting	-0.174960659992661	0.0913693861948468	33273	-1.91487178888949	0.902381513429313
AreNot-organelle-targeted	Dual-targeted_Non-interacting	0.00170748454066671	0.0273813204748257	33273	0.0623594666384537	1
AreNot-organelle-targeted	Mitochondria-targeted_Interacting	0.0499773782783301	0.0559405744909246	33273	0.893401233954758	1
AreNot-organelle-targeted	Mitochondria-targeted_Non-interacting	-0.075579353191706	0.0805434269646944	33273	-0.938367735766144	1
AreNot-organelle-targeted	Plastid-targeted_Interacting	-0.186239035705689	0.0574642357766178	33273	-3.24095558200166	0.0250418374484654
AreNot-organelle-targeted	Plastid-targeted_Non-interacting	-0.0565548554212188	0.0366896021717391	33273	-1.54144095530099	1
Dual-targeted_Interacting	Dual-targeted_Non-interacting	0.176668144533327	0.094576269227449	33273	1.8679965489911	0.926570023509669
Dual-targeted_Interacting	Mitochondria-targeted_Interacting	0.224938038270991	0.10641560912015	33273	2.11376921234385	0.621763287234291
Dual-targeted_Interacting	Mitochondria-targeted_Non-interacting	0.0993813068009548	0.121170035971171	33273	0.820180550450606	1
Dual-targeted_Interacting	Plastid-targeted_Interacting	-0.0112783757130283	0.107224401996134	33273	-0.105184785394606	1
Dual-targeted_Interacting	Plastid-targeted_Non-interacting	0.118405804571442	0.0976783542938678	33273	1.21220105956346	1
Dual-targeted_Non-interacting	Mitochondria-targeted_Interacting	0.0482698937376633	0.0610381343238342	33273	0.790815352932812	1
Dual-targeted_Non-interacting	Mitochondria-targeted_Non-interacting	-0.0772868377323727	0.0841638259264441	33273	-0.918290451766278	1
Dual-targeted_Non-interacting	Plastid-targeted_Interacting	-0.187946520246356	0.0624375236596582	33273	-3.01015333777228	0.0522623004264809
Dual-targeted_Non-interacting	Plastid-targeted_Non-interacting	-0.0582623399618855	0.0440730402273341	33273	-1.32194964679907	1
Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	-0.125556731470036	0.097278778559388	33273	-1.29068984345218	1
Mitochondria-targeted_Interacting	Plastid-targeted_Interacting	-0.236216413984019	0.0792341815391571	33273	-2.98124381921308	0.0545846841877304
Mitochondria-targeted_Interacting	Plastid-targeted_Non-interacting	-0.106532233699549	0.065742254587973	33273	-1.62045300039098	1
Mitochondria-targeted_Non-interacting	Plastid-targeted_Interacting	-0.110659682513983	0.0981628813606368	33273	-1.12730678826994	1
Mitochondria-targeted_Non-interacting	Plastid-targeted_Non-interacting	0.0190244977704872	0.0876352656819858	33273	0.217087237910866	1
Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	0.12968418028447	0.06704352733356	33273	1.93432812147929	0.902381513429313
