Estimate	Std. Error	t value	Pr(>|t|)
(Intercept)	0.0324644911664999	0.00875873117481365	3.70652900728976	0.000210459740368558
TargetingDual-targeted_Interacting	0.174960659992661	0.0913693861948468	1.91487178888949	0.0555174213007402
TargetingDual-targeted_Non-interacting	-0.00170748454066671	0.0273813204748257	-0.0623594666384537	0.950276947610497
TargetingMitochondria-targeted_Interacting	-0.0499773782783301	0.0559405744909246	-0.893401233954758	0.371648803725647
TargetingMitochondria-targeted_Non-interacting	0.075579353191706	0.0805434269646944	0.938367735766144	0.348062272147915
TargetingPlastid-targeted_Interacting	0.186239035705689	0.0574642357766178	3.24095558200166	0.00119246844992692
TargetingPlastid-targeted_Non-interacting	0.0565548554212188	0.0366896021717391	1.54144095530099	0.123219012568598
