Targeting	dadGene	momGene	plantID	dipMom	dipDad	tetMom	tetDad
AreNot-organelle-targeted	AUR62004448	AUR62023502	PlantA	10.6096468134446	5.64002858774127	10.2118329777889	8.65536001360381
AreNot-organelle-targeted	AUR62004448	AUR62023502	PlantB	10.5479686834363	5.84462724632109	9.45750375085576	9.5565647710304
AreNot-organelle-targeted	AUR62004448	AUR62023502	PlantC	10.5082396273476	6.79002603147396	9.4872679872373	8.51599472830273
AreNot-organelle-targeted	AUR62004448	AUR62023502	PlantD	10.5805349175827	6.68114931341173	9.35834810769056	8.50294660465951
AreNot-organelle-targeted	AUR62019788	AUR62010792	PlantA	8.15703041784498	8.3513820589044	6.41035591094854	7.15888113163072
AreNot-organelle-targeted	AUR62019788	AUR62010792	PlantB	8.08699758911239	8.54464554762132	6.28611324607815	7.42316980610648
AreNot-organelle-targeted	AUR62019788	AUR62010792	PlantC	8.09655993353104	7.89845138140018	5.8079273429558	6.84298509396378
AreNot-organelle-targeted	AUR62019788	AUR62010792	PlantD	8.05466927233083	7.85709023764649	5.9452382193567	6.90757904624063
AreNot-organelle-targeted	AUR62020068	AUR62001712	PlantA	11.9415333092843	8.08477739950225	9.88538762403721	9.34210807382848
AreNot-organelle-targeted	AUR62020068	AUR62001712	PlantB	12.1211206940808	8.60162289449736	10.2681238788363	9.46764044552084
AreNot-organelle-targeted	AUR62020068	AUR62001712	PlantC	12.1522359476983	9.96810711170146	9.90182920030913	9.31526454741445
AreNot-organelle-targeted	AUR62020068	AUR62001712	PlantD	11.9531961330927	10.0292710003139	10.2488571592208	9.76661442886023
AreNot-organelle-targeted	AUR62041904	AUR62033900	PlantA	9.54241601753005	6.89648998967981	8.14874293892199	7.16972951944529
AreNot-organelle-targeted	AUR62041904	AUR62033900	PlantB	9.79125531254878	7.29104971767641	8.28124774905133	7.55301841922219
AreNot-organelle-targeted	AUR62041904	AUR62033900	PlantC	9.92504131379999	8.85992150818146	8.47438732864766	7.18888197053434
AreNot-organelle-targeted	AUR62041904	AUR62033900	PlantD	9.49475048494372	8.93950234882231	8.32495612136232	7.45237793267234
AreNot-organelle-targeted	AUR62006568	AUR62000222	PlantA	10.0309450853273	9.28010219934059	8.96879112933941	9.28917285557577
AreNot-organelle-targeted	AUR62006568	AUR62000222	PlantB	9.6766368813911	9.64393638483454	9.08232769818878	9.10369639522528
AreNot-organelle-targeted	AUR62006568	AUR62000222	PlantC	9.87204763641527	10.1868356375518	9.45476268743082	9.26078841212832
AreNot-organelle-targeted	AUR62006568	AUR62000222	PlantD	9.90467328579066	10.183946722539	9.42076212444855	9.43085841543729
AreNot-organelle-targeted	AUR62030284	AUR62018378	PlantA	9.7978028975124	7.69242626149377	7.71164819657577	7.64036852574553
AreNot-organelle-targeted	AUR62030284	AUR62018378	PlantB	9.82924270320309	7.49312668926797	7.23975113876363	7.14980253006248
AreNot-organelle-targeted	AUR62030284	AUR62018378	PlantC	9.85968252540538	7.71362491975924	7.97732002485443	7.67344415819018
AreNot-organelle-targeted	AUR62030284	AUR62018378	PlantD	9.6663082547129	7.87380223005613	8.13709050335086	7.71417259531222
AreNot-organelle-targeted	AUR62028241	AUR62002122	PlantA	7.54145699552471	8.00640600231216	6.76308125481089	6.57906974855404
AreNot-organelle-targeted	AUR62028241	AUR62002122	PlantB	7.59408671418051	7.86468231030879	6.96602998325286	6.58209972481205
AreNot-organelle-targeted	AUR62028241	AUR62002122	PlantC	7.71706737586809	7.73447160415106	7.20705777513646	6.90588779491805
AreNot-organelle-targeted	AUR62028241	AUR62002122	PlantD	7.63098507733707	8.10477359851979	7.04491505077514	6.62882643124383
AreNot-organelle-targeted	AUR62004856	AUR62040939	PlantA	8.88694636130234	7.63830088733655	8.11156413688133	7.22752005048064
AreNot-organelle-targeted	AUR62004856	AUR62040939	PlantB	8.95698166487476	7.51454231148361	7.93971214889361	7.01294949308323
AreNot-organelle-targeted	AUR62004856	AUR62040939	PlantC	9.05994987444912	7.17843168738075	8.19505574943797	7.42461706086222
AreNot-organelle-targeted	AUR62004856	AUR62040939	PlantD	8.81704587462865	7.13985596665478	8.192994859427	7.31777105879644
AreNot-organelle-targeted	AUR62009386	AUR62023068	PlantA	6.64444183379869	6.37063201181962	6.96071638509954	6.10030042768875
AreNot-organelle-targeted	AUR62009386	AUR62023068	PlantB	6.8955657135291	6.34276238847925	7.33716346002425	6.210384430456
AreNot-organelle-targeted	AUR62009386	AUR62023068	PlantC	6.94042992539478	6.50210606295783	6.45474340505388	5.60708034159296
AreNot-organelle-targeted	AUR62009386	AUR62023068	PlantD	7.11432212820906	6.54155682426965	6.64426739501778	6.00529959079392
AreNot-organelle-targeted	AUR62008783	AUR62025448	PlantA	4.4239157798619	0.320993883886401	5.47598572934496	-0.816975377448753
AreNot-organelle-targeted	AUR62008783	AUR62025448	PlantB	4.97847848223339	-0.199515348797395	5.96232401968534	0.196846532490157
AreNot-organelle-targeted	AUR62008783	AUR62025448	PlantC	5.19634622376096	2.45984668793898	4.72467148751466	-1.95848627927154
AreNot-organelle-targeted	AUR62008783	AUR62025448	PlantD	4.92729688552252	0.950072571239714	4.69031197023864	-0.436002486730706
AreNot-organelle-targeted	AUR62016745	AUR62011311	PlantA	3.43103376003386	4.29754564059493	3.01647028495953	5.24421548434145
AreNot-organelle-targeted	AUR62016745	AUR62011311	PlantB	4.35823359815919	4.528758784874	0.0962446624304811	5.53473681810322
AreNot-organelle-targeted	AUR62016745	AUR62011311	PlantC	4.06077268883603	4.12450135344608	2.1656580149901	3.7831656699497
