species	category	direction	sided	DE	nDE	pvalueDE
AsSA	PN	up	greater	285	991	0.0000533611993999704
AsSA	PN	up	less	285	991	0.999960737477648
AsSA	PN	down	two.sided	185	1091	0.00308870153876223
AsSA	PN	down	greater	185	1091	0.998779440971838
AsSA	PN	down	less	185	1091	0.00159760601859978
AsSA	cp	both	two.sided	15	63	0.002696976545039
AsSA	cp	both	greater	15	63	0.999458440658426
AsSA	cp	both	less	15	63	0.00134209681843275
AsSA	cp	up	two.sided	4	74	0.00159110645778199
AsSA	cp	up	greater	4	74	0.999764278826559
AsSA	cp	up	less	4	74	0.00102506058260415
AsSA	cp	down	two.sided	11	67	0.458972185275836
AsSA	cp	down	greater	11	67	0.843010316395712
AsSA	cp	down	less	11	67	0.244583689284685
AsSA	mt	both	two.sided	21	10	0.00045625946292988
AsSA	mt	both	greater	21	10	0.000273331262779829
AsSA	mt	both	less	21	10	0.999934312599686
AsSA	mt	up	two.sided	5	26	1
AsSA	mt	up	greater	5	26	0.664303114364786
AsSA	mt	up	less	5	26	0.522318322042722
AsSA	mt	down	two.sided	16	15	0.0000211696509877537
AsSA	mt	down	greater	16	15	0.0000211696509877537
AsSA	mt	down	less	16	15	0.999996053209471
