target_id	length	eff_length	Asue_2	Asue_2_tpm
AsAt_g13717	882	702.98	671.609	11.0169
AsAa_g13605	1275	1095.93	28.8021	0.30306
AsAt_g12005	414	236.294	1.02912	0.0502227
AsAa_g21890	879	699.98	628	10.3457
AsAt_g972	873	693.98	1208.39	20.0791
AsAa_g14435	753	573.98	0	0
AsAt_g8577	675	495.98	1	0.0232499
AsAt_g20981	1284	1104.93	101.26	1.05679
AsAa_g8019	3267	3087.93	657.937	2.45699
AsAa_g3580	441	262.769	0	0
AsAt_g5553	276	108.486	54	5.73993
AsAa_g23290	1191	1011.93	2	0.0227912
AsAa_g18000	1491	1311.93	386	3.39284
AsAa_g19344	3567	3387.93	1582.38	5.38595
AsAa_g13255	1020	840.926	751.356	10.3032
AsAt_g3092	1755	1575.93	240.102	1.7569
AsAt_g4830	999	819.926	0	0
AsAt_g7561	1023	843.926	266	3.63466
AsAt_g8953	1839	1659.93	3	0.020841
AsAa_g7558	2187	2007.93	26	0.149318
AsAa_g20927	843	663.98	2	0.0347345
AsAa_g22678	1380	1200.93	0	0
AsAt_g12804	960	780.98	6	0.0885926
AsAt_g1780	3663	3483.93	733.9	2.42915
AsAa_g2069	3099	2919.93	25	0.0987312
AsAt_g9353	1086	906.926	415.665	5.28516
AsAt_g18258	1302	1122.93	459.941	4.7232
AsAa_g806	1611	1431.93	3752.71	30.2211
AsAa_g10877	1515	1335.93	324.623	2.80209
AsAt_g7385	1125	945.926	239.865	2.92412
AsAa_g14738	1557	1377.93	8	0.0669499
AsAt_g11489	1059	879.926	5	0.0655254
AsAa_g12175	1203	1023.93	13	0.146407
AsAa_g20820	1464	1284.93	152.471	1.36834
AsAa_g21003	3135	2955.93	142	0.553963
AsAt_g18806	1119	939.926	160.099	1.96418
AsAa_g5078	789	609.98	89.7379	1.69647
AsAa_g10400	486	307.282	1397	52.4259
AsAa_g10831	213	61.2551	0	0
AsAa_g9043	1356	1176.93	0	0
AsAa_g14684	1554	1374.93	0	0
AsAa_g6391	660	480.98	102.339	2.45358
AsAa_g1711	570	391.068	311.929	9.19792
AsAt_g3069	1455	1275.93	671.816	6.07171
AsAt_g14398	369	192.615	388.301	23.2469
AsAt_g1277	2541	2361.93	1223.88	5.97529
AsAt_g9238	2418	2238.93	182	0.937384
AsAt_g13186	378	201.279	2	0.114583
AsAt_g14087	1068	888.926	50.7937	0.658916
AsAt_g21406	612	433.026	1	0.02663
AsAt_g9227	252	89.4065	195	25.1508
AsAt_g8272	501	322.25	217.528	7.78409
AsAa_g13553	2571	2391.93	40.6853	0.196145
AsAa_g1510	1917	1737.93	0	0
AsAt_g15508	867	687.98	0	0
AsAt_g15125	1821	1641.93	275	1.93137
AsAt_g12089	663	483.98	35	0.833924
AsAa_g10821	1386	1206.93	281.761	2.69207
AsAt_g2828	1038	858.926	56.16	0.753976
AsAt_g73	1899	1719.93	228.702	1.53337
AsAa_g22968	1344	1164.93	473.019	4.68238
AsAa_g6198	774	594.98	0	0
AsAa_g13139	954	774.98	0	0
AsAa_g11705	1968	1788.93	525.359	3.38649
AsAt_g10482	3258	3078.93	335.195	1.25541
AsAa_g12163	501	322.25	3	0.107353
AsAa_g5414	624	445.026	0	0
AsAt_g15171	387	210.024	2	0.109812
AsAa_g330	378	201.279	6	0.343748
AsAa_g17250	1671	1491.93	740.384	5.72263
AsAa_g13809	4614	4434.93	1278.88	3.3253
AsAa_g5795	1587	1407.93	207.535	1.6998
AsAt_g14350	822	642.98	159.528	2.86105
AsAt_g3994	765	585.98	136.282	2.68189
AsAt_g9329	999	819.926	178	2.50341
AsAa_g6879	465	286.549	29.2199	1.17589
AsAa_g13782	630	451.011	150	3.83522
AsAa_g7077	897	717.98	0	0
AsAa_g17839	1554	1374.93	12312	103.261
AsAt_g11571	1572	1392.93	0	0
AsAa_g1547	231	73.7965	15	2.34391
AsAa_g14747	759	579.98	382.16	7.59833
AsAa_g1586	6126	5946.93	1123.09	2.17775
AsAt_g5956	390	212.931	1	0.054156
AsAt_g3999	324	150.435	0	0
AsAt_g7148	2190	2010.93	254	1.45654
AsAa_g6156	1167	987.926	1	0.0116724
AsAt_g17097	2517	2337.93	759.274	3.74502
AsAa_g19471	1374	1194.93	507.644	4.89896
AsAt_g12514	2130	1950.93	1751.58	10.3532
AsAt_g2731	978	798.954	308	4.44545
AsAa_g14820	2124	1944.93	55	0.326096
AsAt_g4071	2808	2628.93	262.541	1.15161
AsAt_g16215	387	210.024	94	5.16114
AsAt_g14860	1617	1437.93	1251.17	10.0338
AsAa_g7001	864	684.98	0	0
AsAt_g3120	339	164.326	30	2.10523
AsAa_g10828	1167	987.926	218.819	2.55415
AsAa_g7986	687	507.98	41	0.930729
AsAa_g7608	2640	2460.93	222.444	1.04234
AsAa_g12291	408	230.473	6	0.300205
AsAt_g16502	1395	1215.93	1	0.00948372
AsAt_g18325	1368	1188.93	62.496	0.606155
AsAt_g4082	1026	846.926	0	0
AsAt_g7344	1170	990.926	5	0.0581855
AsAt_g5649	423	245.101	2	0.0940961
AsAa_g4211	1158	978.926	61.3269	0.722416
AsAt_g16440	228	71.6099	4	0.64413
AsAa_g12374	582	403.055	0	0
AsAt_g20151	1524	1344.93	0	0
AsAa_g3597	1170	990.926	10	0.116371
AsAa_g5379	438	259.864	0	0
AsAa_g21858	1908	1728.93	287.861	1.91996
AsAa_g17156	513	334.196	66	2.27735
AsAa_g10	1314	1134.93	87	0.88397
AsAt_g7110	783	603.98	17	0.324573
