target_id	length	eff_length	Asue_5	Asue_5_tpm
AsAa_g4533	951	754.248	50	1.11056
AsAa_g14924	1365	1168.23	12	0.172083
AsAa_g1957	336	146.768	179.355	20.4723
AsAt_g4674	483	287.261	0	0
AsAt_g3881	1191	994.232	98	1.65129
AsAt_g9241	1512	1315.23	342	4.35621
AsAa_g6256	615	418.632	0	0
AsAa_g8827	810	613.373	43	1.17444
AsAa_g19432	1608	1411.23	10	0.11871
AsAt_g2836	954	757.248	1130.85	25.018
AsAa_g15154	3399	3202.23	737.563	3.85861
AsAa_g21159	6696	6499.23	571	1.47184
AsAt_g3991	1023	826.232	93	1.88567
AsAt_g18765	2532	2335.23	36	0.25826
AsAa_g3609	3063	2866.23	211.758	1.23769
AsAt_g6980	912	715.263	94.4444	2.21205
AsAt_g6975	528	331.927	402.279	20.3034
AsAt_g19236	1476	1279.23	1	0.0130959
AsAa_g17505	561	364.802	44.4344	2.04055
AsAa_g19950	1110	913.232	0	0
AsAa_g8775	1719	1522.23	23	0.253123
AsAa_g11249	3069	2872.23	155	0.90406
AsAa_g12630	357	165.851	2	0.202021
AsAt_g21169	1260	1063.23	205.415	3.23659
AsAa_g11675	627	430.615	0	0
AsAt_g16594	681	484.506	0	0
AsAa_g18410	1011	814.232	15	0.308623
AsAa_g1716	252	77.9113	10	2.15023
AsAa_g22302	705	508.496	75	2.47092
AsAt_g6206	1359	1162.23	0	0
AsAt_g7191	1179	982.232	126	2.14903
AsAa_g7521	4428	4231.23	133.755	0.529575
AsAa_g15170	1116	919.232	153	2.78838
AsAa_g19143	429	234.263	19	1.35873
AsAa_g4195	1818	1621.23	251.406	2.59786
AsAa_g20036	846	649.373	0	0
AsAa_g10983_AsAa_g15737	519	323.012	1.08869	0.0564641
AsAt_g5510	3522	3325.23	147	0.740595
AsAa_g14895	216	54.4361	13	4.00075
AsAt_g21848	720	523.475	1	0.0320029
AsAt_g18677	1701	1504.23	127	1.41441
AsAt_g19953	1332	1135.23	19	0.280385
AsAa_g17490	3687	3490.23	0	0
AsAa_g84	5475	5278.23	270.59	0.858832
AsAt_g11411	366	174.185	3	0.288534
AsAt_g6292	354	163.117	0	0
AsAa_g6789	252	77.9113	59	12.6863
AsAt_g2363	405	211.088	47.803	3.79382
AsAa_g17880	984	787.248	56.5675	1.20376
AsAa_g17894	1323	1126.23	280	4.165
AsAa_g900	495	299.167	17	0.951964
AsAa_g3495	660	463.543	509.47	18.4125
AsAt_g9233	1317	1120.23	251	3.75363
AsAa_g6223	1698	1501.23	1505.65	16.802
AsAt_g16355	1977	1780.23	0	0
AsAa_g10872	1359	1162.23	0	0
AsAt_g9569	819	622.373	48.3881	1.30249
AsAa_g1318	2523	2326.23	166.54	1.19937
AsAa_g12803	3264	3067.23	83.0898	0.453823
AsAt_g20899	702	505.496	5	0.165706
AsAt_g20312	1725	1528.23	200.9	2.2023
AsAt_g14467	1035	838.232	0	0
AsAt_g11911	1152	955.232	0	0
AsAa_g7152	573	376.735	0	0
AsAt_g2215	1269	1072.23	145.734	2.27696
AsAa_g800	786	589.397	7125.29	202.526
AsAt_g2808	456	260.607	0	0
AsAa_g18075	2220	2023.23	277.395	2.29688
AsAa_g6253	1254	1057.23	918.446	14.5535
AsAa_g15427	306	120.503	430.197	59.8072
AsAa_g20216	1104	907.232	88	1.62499
AsAa_g20974	402	208.253	0	0
AsAt_g14278	501	305.107	0	0
AsAa_g14203	1326	1129.23	186.544	2.76747
AsAa_g20322	1341	1144.23	227.687	3.33356
AsAt_g14938	1368	1171.23	170.715	2.44183
AsAa_g10734	1878	1681.23	73	0.727412
AsAa_g10003	777	580.397	6	0.173185
AsAt_g8581	888	691.305	0	0
AsAt_g6183	891	694.291	787.784	19.0086
AsAa_g14859	2433	2236.23	117	0.876505
AsAt_g9736	672	475.515	0	0
AsAt_g21764	489	293.214	37.8952	2.16513
AsAa_g8375	1140	943.232	33	0.586112
AsAa_g1855	1068	871.232	32.3756	0.622543
AsAa_g10891	1887	1690.23	243.205	2.41053
AsAa_g10276	975	778.248	1069	23.0115
AsAt_g18062	651	454.571	15	0.552809
AsAa_g988	1521	1324.23	0	0
AsAa_g1637	1530	1333.23	12	0.150786
AsAt_g20729	1044	847.232	14	0.276829
AsAt_g16311	903	706.263	0	0
AsAt_g4399	789	592.397	4	0.113118
AsAt_g91	1626	1429.23	0	0
AsAa_g7509	855	658.373	9	0.229011
AsAa_g7623	690	493.506	104.414	3.54448
AsAt_g22101	327	138.726	341	41.1796
AsAt_g11858	1938	1741.23	84.684	0.814761
AsAt_g18390	879	682.346	5	0.122758
AsAa_g20616	1728	1531.23	0	0
AsAt_g21009	1146	949.232	35	0.617705
AsAt_g11880	312	125.633	4749.75	633.363
AsAa_g3195	435	240.049	1	0.0697887
AsAt_g10906	480	284.295	4	0.235709
AsAt_g18345	798	601.385	6717.3	187.123
AsAt_g6609	2364	2167.23	644.257	4.98011
AsAt_g14039	1572	1375.23	261.521	3.18578
AsAa_g23141	1077	880.232	0	0
AsAa_g5126	1350	1153.23	20.7886	0.301991
AsAt_g3187	660	463.543	31	1.12036
AsAa_g20743	915	718.263	2	0.0466479
AsAt_g11001	465	269.511	0	0
AsAt_g4992	3612	3415.23	89.9515	0.441239
AsAa_g11028	2586	2389.23	350.718	2.45915
AsAt_g11504	486	290.244	51	2.94369
AsAa_g8049	1014	817.232	35	0.717477
AsAa_g16394	1893	1696.23	0	0
AsAa_g23326	300	115.456	0	0
AsAt_g15254	942	745.263	16	0.359663
AsAa_g18351	864	667.359	2	0.050206
AsAa_g11062	2184	1987.23	2672.91	22.5331
AsAa_g127	1275	1078.23	35.8154	0.556471
AsAa_g6731	1275	1078.23	20.3893	0.316793
AsAt_g1069	660	463.543	2	0.0722811
AsAa_g12182	2025	1828.23	77	0.705577
AsAt_g10655	705	508.496	75.5347	2.48854
AsAa_g16363	693	496.496	51	1.72084
AsAt_g20679	726	529.475	88.4819	2.79959
AsAa_g10454	573	376.735	13	0.578086
AsAa_g8264	618	421.632	0	0
AsAa_g22179	3636	3439.23	62.3404	0.303664
AsAa_g16662	1950	1753.23	279	2.66594
AsAa_g13226	2199	2002.23	12	0.100404
AsAa_g8806	318	130.803	0	0
AsAa_g1451	516	320.032	0	0
AsAt_g13717	882	685.318	367.204	8.97636
AsAa_g13605	1275	1078.23	17	0.264133
AsAt_g12005	414	219.772	0	0
AsAa_g21890	879	682.346	500	12.2758
AsAt_g972	873	676.359	972.573	24.0896
AsAa_g14435	753	556.454	0	0
AsAt_g8577	675	478.515	2	0.0700196
AsAt_g20981	1284	1087.23	47.6458	0.734155
AsAa_g8019	3267	3070.23	242.402	1.32267
AsAa_g3580	441	245.927	0	0
AsAt_g5553	276	95.687	9	1.57571
AsAa_g23290	1191	994.232	1	0.0168499
AsAa_g18000	1491	1294.23	226.479	2.93158
AsAa_g19344	3567	3370.23	707.062	3.51466
AsAa_g13255	1020	823.232	510.163	10.3818
AsAt_g3092	1755	1558.23	104.941	1.12823
AsAt_g4830	999	802.232	1	0.0208826
AsAt_g7561	1023	826.232	135	2.73727
AsAt_g8953	1839	1642.23	1	0.0102012
AsAa_g7558	2187	1990.23	8	0.0673397
AsAa_g20927	843	646.373	10	0.25918
AsAa_g22678	1380	1183.23	0	0
AsAt_g12804	960	763.248	9.32901	0.204765
AsAt_g1780	3663	3466.23	117.769	0.569191
AsAa_g2069	3099	2902.23	15	0.0865853
AsAt_g9353	1086	889.232	139	2.61869
AsAt_g18258	1302	1105.23	513	7.77587
AsAa_g806	1611	1414.23	355.765	4.21432
AsAa_g10877	1515	1318.23	165.366	2.10155
AsAt_g7385	1125	928.232	85.5681	1.54433
AsAa_g14738	1557	1360.23	21	0.258638
AsAt_g11489	1059	862.232	1	0.0194295
AsAa_g12175	1203	1006.23	3	0.0499469
AsAa_g20820	1464	1267.23	261.168	3.45262
AsAa_g21003	3135	2938.23	47	0.267977
AsAt_g18806	1119	922.232	99.3678	1.80506
AsAa_g5078	789	592.397	56.5309	1.59867
AsAa_g10400	486	290.244	400.955	23.1429
AsAa_g10831	213	52.66	0	0
AsAa_g9043	1356	1159.23	0	0
AsAa_g14684	1554	1357.23	0	0
AsAa_g6391	660	463.543	106	3.8309
AsAa_g1711	570	373.758	256.688	11.5054
AsAt_g3069	1455	1258.23	316.657	4.21613
AsAt_g14398	369	176.988	255.34	24.1691
AsAt_g1277	2541	2344.23	533.913	3.81553
AsAt_g9238	2418	2221.23	116	0.874882
AsAt_g13186	378	185.473	1	0.0903244
AsAt_g14087	1068	871.232	13	0.249974
AsAt_g21406	612	415.64	0	0
AsAt_g9227	252	77.9113	151	32.4684
AsAt_g8272	501	305.107	426	23.3907
AsAa_g13553	2571	2374.23	24	0.169345
AsAa_g1510	1917	1720.23	0	0
AsAt_g15508	867	670.359	0	0
AsAt_g15125	1821	1624.23	157	1.61934
AsAt_g12089	663	466.525	16	0.574554
AsAa_g10821	1386	1189.23	144.768	2.03935
AsAt_g2828	1038	841.232	22	0.438119
AsAt_g73	1899	1702.23	99.3053	0.977325
AsAa_g22968	1344	1147.23	151.776	2.21635
AsAa_g6198	774	577.408	0	0
AsAa_g13139	954	757.248	0	0
AsAa_g11705	1968	1771.23	759.981	7.18808
AsAt_g10482	3258	3061.23	166.918	0.913467
AsAa_g12163	501	305.107	2	0.109815
AsAa_g5414	624	427.632	0	0
AsAt_g15171	387	194.037	0	0
AsAa_g330	378	185.473	0	0
AsAa_g17250	1671	1474.23	407.236	4.6277
AsAa_g13809	4614	4417.23	493.744	1.87256
AsAa_g5795	1587	1390.23	164	1.97625
AsAt_g14350	822	625.373	99.0027	2.65212
AsAt_g3994	765	568.454	61.2708	1.80569
AsAt_g9329	999	802.232	105	2.19268
AsAa_g6879	465	269.511	15.6277	0.971412
AsAa_g13782	630	433.606	92	3.55449
AsAa_g7077	897	700.263	0	0
AsAa_g17839	1554	1357.23	10727.1	132.408
AsAt_g11571	1572	1375.23	0	0
AsAa_g1547	231	63.5481	16.6526	4.39
AsAa_g14747	759	562.454	184.127	5.48423
AsAa_g1586	6126	5929.23	417.457	1.1795
AsAt_g5956	390	196.879	4	0.340366
AsAt_g3999	324	136.078	0	0
AsAt_g7148	2190	1993.23	221.478	1.86148
AsAa_g6156	1167	970.232	1	0.0172667
AsAt_g17097	2517	2320.23	270.898	1.95596
AsAa_g19471	1374	1177.23	29.194	0.415449
AsAt_g12514	2130	1933.23	126.663	1.09762
AsAt_g2731	978	781.248	198	4.24582
AsAa_g14820	2124	1927.23	21	0.182545
AsAt_g4071	2808	2611.23	147.795	0.948198
AsAt_g16215	387	194.037	171	14.7637
AsAt_g14860	1617	1420.23	850.55	10.0329
AsAa_g7001	864	667.359	0	0
AsAt_g3120	339	149.446	34	3.81135
AsAa_g10828	1167	970.232	76	1.31227
AsAa_g7986	687	490.506	4	0.136616
AsAa_g7608	2640	2443.23	92.1994	0.632191
AsAa_g12291	408	213.951	4	0.313206
AsAt_g16502	1395	1198.23	0	0
AsAt_g18325	1368	1171.23	34	0.486319
AsAt_g4082	1026	829.232	1	0.0202027
AsAt_g7344	1170	973.232	7	0.120494
AsAt_g5649	423	228.496	0	0
AsAa_g4211	1158	961.232	3.05267	0.053203
AsAt_g16440	228	61.611	1	0.271911
AsAa_g12374	582	385.712	0	0
AsAt_g20151	1524	1327.23	0	0
AsAa_g3597	1170	973.232	10	0.172135
AsAa_g5379	438	242.991	0	0
AsAa_g21858	1908	1711.23	150.388	1.47228
AsAa_g17156	513	317.051	46	2.4306
AsAa_g10	1314	1117.23	95	1.42451
AsAt_g7110	783	586.397	14	0.399965
AsAa_g23219	1299	1102.23	6	0.0911934
AsAa_g7582	411	216.886	2801	216.355
AsAa_g16673	942	745.263	69.9343	1.57205
AsAt_g15951	1569	1372.23	248	3.02768
AsAa_g4065	1110	913.232	808.177	14.8255
AsAa_g21535	396	202.576	3	0.248095
AsAa_g17603	2127	1930.23	6	0.0520747
AsAa_g21346	1593	1396.23	0	0
AsAa_g20802	531	334.907	40	2.00088
AsAt_g6550	2727	2530.23	0	0
AsAt_g8112	264	86.5547	2	0.387101
AsAa_g10374	1191	994.232	6	0.101099
AsAa_g22636	726	529.475	8	0.253122
AsAa_g13231	657	460.543	1	0.036376
AsAt_g15066	273	93.4045	7.25005	1.30034
AsAa_g116	717	520.475	122.635	3.94729
AsAa_g17248	1449	1252.23	120.517	1.61231
AsAt_g3551	501	305.107	23.3283	1.2809
AsAa_g4610	3654	3457.23	94.0485	0.455731
AsAa_g18429	1086	889.232	5	0.0941977
AsAa_g7836	924	727.263	0	0
AsAt_g9028	174	33.7259	7	3.47712
AsAa_g3027	1722	1525.23	70	0.76886
AsAa_g137	1482	1285.23	184.901	2.41015
AsAa_g1664	711	514.475	35.2289	1.14715
AsAt_g11945	564	367.795	1003.12	45.691
AsAa_g17771	1374	1177.23	1	0.0142306
AsAa_g17932	1473	1276.23	170	2.23154
AsAa_g12283	207	49.1671	4	1.36292
AsAt_g12088	669	472.515	2	0.0709087
AsAt_g1485	891	694.291	60	1.44775
AsAa_g929	954	757.248	3272.15	72.3902
AsAa_g19789	801	604.385	1.04733	0.0290306
AsAa_g16057	1491	1294.23	1	0.0129441
AsAt_g19351	2169	1972.23	433	3.67803
AsAa_g9124	2130	1933.23	221.524	1.91965
AsAa_g9211	894	697.291	5	0.120127
AsAt_g16940	1596	1399.23	96	1.14939
AsAa_g22207	402	208.253	23	1.85021
AsAa_g909	1227	1030.23	188	3.05709
AsAt_g22056	1545	1348.23	143.448	1.78244
AsAt_g16560	1515	1318.23	76	0.965844
AsAa_g4090	1002	805.232	173.226	3.60394
AsAt_g8388	1050	853.232	0	0
AsAt_g2387	2532	2335.23	344.353	2.47035
AsAt_g10933	966	769.248	0	0
AsAa_g17418	4506	4309.23	1013.12	3.93864
AsAt_g2901	1086	889.232	0	0
AsAt_g16717	3990	3793.23	3	0.0132494
AsAt_g2424	1137	940.232	85.6988	1.52695
AsAt_g10096	909	712.263	169.872	3.99546
AsAa_g12998	1092	895.232	219.451	4.10664
AsAt_g3190	510	314.057	0	0
AsAt_g8823	966	769.248	56.0562	1.22079
AsAt_g6432	1215	1018.23	0	0
AsAa_g10427	777	580.397	0	0
AsAa_g14516	1221	1024.23	0	0
AsAa_g3561	873	676.359	20.5882	0.509949
AsAt_g15816	1290	1093.23	47.5328	0.728394
AsAa_g10684	1584	1387.23	168.14	2.03052
AsAt_g12875	630	433.606	19	0.73408
AsAt_g13285	2130	1933.23	499.735	4.33053
AsAt_g4028	363	171.435	0	0
AsAt_g7478	2994	2797.23	6	0.0359342
AsAt_g6588	1581	1384.23	79	0.9561
AsAa_g226	579	382.735	36.2742	1.58776
AsAa_g1059	654	457.562	30	1.09839
AsAt_g16829	465	269.511	0	0
AsAt_g11270	816	619.373	7.24499	0.195962
AsAt_g4715	1893	1696.23	146	1.44196
AsAa_g11490	1650	1453.23	10	0.115279
AsAa_g18280	1254	1057.23	14	0.221842
AsAt_g14534	858	661.373	101	2.55835
AsAt_g222	1410	1213.23	7	0.0966584
AsAa_g16426	1461	1264.23	23	0.30478
AsAa_g20094	2397	2200.23	85.4393	0.65054
AsAa_g7474	1467	1270.23	191.908	2.53101
AsAt_g17829	576	379.735	0	0
AsAa_g19884	891	694.291	46	1.10995
AsAt_g11218	408	213.951	569.546	44.5964
AsAt_g10099	2139	1942.23	64.0036	0.552063
AsAt_g16052	723	526.475	162.354	5.1662
AsAt_g19052	645	448.571	15	0.560203
AsAa_g10024	393	199.726	89.7063	7.52442
AsAt_g20529	2472	2275.23	345.512	2.54404
AsAt_g4938	1476	1279.23	131.969	1.72826
AsAt_g18682	747	550.454	242	7.36512
AsAa_g922	1110	913.232	4	0.0733777
AsAt_g3152	1368	1171.23	122.078	1.74614
AsAa_g11503	2268	2071.23	17	0.137501
AsAa_g15816	780	583.397	98.5645	2.83036
AsAt_g18304	342	152.113	408.781	45.0203
AsAa_g20985	1317	1120.23	543.82	8.13266
AsAt_g20297	1995	1798.23	2	0.0186324
AsAa_g10857	246	73.5988	0	0
AsAa_g4986	588	391.681	5	0.213857
AsAa_g10669	918	721.263	0	0
AsAt_g5334	1626	1429.23	366	4.29006
AsAa_g9106	1026	829.232	56	1.13135
AsAa_g10805	1137	940.232	0	0
AsAt_g20716	1092	895.232	82.2984	1.54007
AsAt_g17196	687	490.506	28.6512	0.978551
AsAt_g15234	444	248.872	50.7883	3.41879
AsAa_g13240	510	314.057	160.329	8.55242
AsAa_g23352	5112	4915.23	926	3.15611
AsAt_g7685	255	80.0139	4	0.83749
AsAa_g6088	636	439.589	1520.87	57.9604
AsAt_g15478	897	700.263	150	3.58852
AsAa_g22055	1452	1255.23	0	0
AsAa_g16555	1161	964.232	0	0
AsAt_g17673	2889	2692.23	24	0.149343
AsAa_g9134	903	706.263	146.913	3.48482
AsAa_g14791	1134	937.232	3	0.053624
AsAa_g2738	750	553.454	4	0.121078
AsAt_g12947	1164	967.232	71	1.22974
AsAt_g9642	798	601.385	337.659	9.40614
AsAt_g11042	1158	961.232	0	0
AsAt_g4389	849	652.373	1	0.0256797
AsAt_g13385	609	412.648	0	0
AsAa_g7906	2148	1951.23	0	0
AsAa_g4108	879	682.346	0	0
AsAa_g17264	681	484.506	0	0
AsAt_g2644	423	228.496	72.3867	5.3072
AsAt_g11333	2745	2548.23	273.52	1.79819
AsAa_g16	711	514.475	0	0
AsAt_g10514	1317	1120.23	50	0.747734
AsAa_g21199	1608	1411.23	45	0.534194
AsAt_g6546	1722	1525.23	0	0
AsAt_g16615	621	424.632	0	0
AsAa_g8014	429	234.263	25.5968	1.83049
AsAt_g20288	927	730.263	3169.48	72.71
AsAt_g18197	948	751.248	336.263	7.49861
AsAt_g16642	1929	1732.23	0	0
AsAt_g14689	771	574.408	3	0.0874955
AsAa_g19458	1755	1558.23	0	0
AsAa_g3146	2307	2110.23	1393.53	11.063
AsAt_g22076	852	655.373	4	0.102248
AsAt_g12594	1704	1507.23	188.434	2.09443
AsAt_g21676	642	445.571	0	0
AsAt_g1476	999	802.232	172	3.59181
AsAa_g16765	1575	1378.23	21.7112	0.263904
AsAa_g16425	1995	1798.23	2	0.0186324
AsAa_g910	132	17.7763	486	458.015
AsAt_g8688	1239	1042.23	23.6975	0.38091
AsAt_g4814	1020	823.232	101	2.05534
AsAt_g21435	1209	1012.23	87.1507	1.44237
AsAa_g4309	501	305.107	7	0.384354
AsAa_g8614	1086	889.232	196	3.69255
AsAt_g1221	996	799.248	55	1.15283
AsAt_g4644	483	287.261	159	9.27269
AsAa_g944	459	263.57	0	0
AsAt_g17602	1032	835.232	29	0.581669
AsAt_g3823	1008	811.232	63	1.30101
AsAa_g12218	1248	1051.23	33	0.525897
AsAa_g17824	720	523.475	42	1.34412
AsAt_g17478	1632	1435.23	388.975	4.54031
AsAt_g6595	1170	973.232	13.3298	0.229453
AsAa_g12215	1380	1183.23	134.238	1.90061
AsAa_g3674	984	787.248	30.3896	0.646694
AsAa_g5612	1755	1558.23	110	1.18262
AsAa_g17173	897	700.263	77	1.84211
AsAt_g7250	1656	1459.23	55	0.631428
