Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
AUR62040444	AUR62002141																																																						
AUR62040446	AUR62002148																																																						
AUR62040443	AUR62002164																																																						
AUR62010443	AUR62002173																																																						
AUR62010445	AUR62002209																																																						
AUR62010444	AUR62002224																																																						
AUR62010452	AUR62002231																																																						
AUR62010449	AUR62002230																																																						
AUR62010448	AUR62002237																																																						
AUR62010446	AUR62002241																																																						
AUR62010447	AUR62002247																																																						
AUR62010451	AUR62002267																																																						
AUR62010453	AUR62002271																																																						
AUR62010450	AUR62002272																																																						
AUR62010457	AUR62002290																																																						
AUR62010455	AUR62002293																																																						
AUR62010456	AUR62002295																																																						
AUR62010454	AUR62002292																																																						
AUR62010458	AUR62002351																																																						
AUR62010461	AUR62002357																																																						
AUR62010459	AUR62002369																																																						
AUR62010460	AUR62002375																																																						
AUR62010462	AUR62002376																																																						
AUR62010463	AUR62002388																																																						
AUR62010465	AUR62002408																																																						
AUR62010466	AUR62002407																																																						
AUR62010467	AUR62002409																																																						
AUR62010468	AUR62002416																																																						
AUR62010469	AUR62002413																																																						
AUR62010470	AUR62002419																																																						
AUR62010471	AUR62002427																																																						
AUR62010472	AUR62002438																																																						
AUR62010473	AUR62002441																																																						
AUR62010479	AUR62002447																																																						
AUR62010475	AUR62002483																																																						
AUR62010474	AUR62002492																																																						
AUR62010483	AUR62002489																																																						
AUR62010481	AUR62002513																																																						
AUR62010482	AUR62002520																																																						
AUR62010484	AUR62002541																																																						
AUR62010485	AUR62002543																																																						
AUR62010486	AUR62002555																																																						
AUR62010487	AUR62002564																																																						
AUR62010489	AUR62002594																																																						
AUR62010491	AUR62002608																																																						
AUR62010490	AUR62002605																																																						
AUR62010492	AUR62002619																																																						
AUR62010493	AUR62002634																																																						
AUR62010496	AUR62002636																																																						
AUR62010494	AUR62002645																																																						
AUR62010495																																																							
AUR62010497																																																							
AUR62010498																																																							
AUR62010504																																																							
AUR62010501																																																							
AUR62010499																																																							
AUR62010503																																																							
AUR62010502																																																							
AUR62010507																																																							
AUR62010505																																																							
AUR62010509																																																							
AUR62010508																																																							
AUR62010506																																																							
AUR62010512																																																							
AUR62010511																																																							
AUR62010514																																																							
AUR62010515																																																							
AUR62010516																																																							
AUR62010517																																																							
AUR62010519																																																							
AUR62010521																																																							
AUR62010520																																																							
AUR62010523																																																							
AUR62010527																																																							
AUR62010526																																																							
AUR62010528																																																							
AUR62010524																																																							
AUR62010532																																																							
AUR62010530																																																							
AUR62010529																																																							
AUR62010534																																																							
AUR62010533																																																							
AUR62010536																																																							
AUR62010537																																																							
AUR62010538																																																							
AUR62010539																																																							
AUR62010541																																																							
AUR62010540																																																							
AUR62010543																																																							
AUR62010549																																																							
AUR62010548																																																							
AUR62010547																																																							
AUR62010542																																																							
AUR62010545																																																							
AUR62010546																																																							
AUR62010544																																																							
AUR62010555																																																							
AUR62010554																																																							
AUR62010553																																																							
AUR62010551																																																							
AUR62010552																																																							
AUR62010564																																																							
AUR62010561																																																							
AUR62010558																																																							
AUR62010556																																																							
AUR62010562																																																							
AUR62010563																																																							
AUR62010560																																																							
AUR62010565																																																							
AUR62010557																																																							
AUR62010567																																																							
AUR62010566																																																							
AUR62010572																																																							
AUR62010571																																																							
AUR62010570																																																							
AUR62010568																																																							
AUR62010577																																																							
AUR62010575																																																							
AUR62010576																																																							
AUR62010574																																																							
AUR62010573																																																							
AUR62010578																																																							
AUR62010579																																																							
AUR62010583																																																							
AUR62010581																																																							
AUR62010580																																																							
AUR62010582																																																							
AUR62010588																																																							
AUR62010585																																																							
AUR62010587																																																							
AUR62010586																																																							
AUR62010596																																																							
AUR62010594																																																							
AUR62010590																																																							
AUR62010591																																																							
AUR62010595																																																							
AUR62010589																																																							
AUR62010592																																																							
AUR62010593																																																							
AUR62010601																																																							
AUR62010599																																																							
AUR62010597																																																							
AUR62010600																																																							
AUR62010602																																																							
AUR62010606																																																							
AUR62010598																																																							
AUR62010604																																																							
AUR62010605																																																							
AUR62010603																																																							
AUR62010608																																																							
AUR62010609																																																							
AUR62010611																																																							
AUR62010610																																																							
AUR62010616																																																							
AUR62010613																																																							
AUR62010614																																																							
AUR62010615																																																							
AUR62010612																																																							
AUR62010617																																																							
AUR62010620																																																							
AUR62010618																																																							
AUR62010623																																																							
AUR62010628																																																							
AUR62010625																																																							
AUR62010626																																																							
AUR62010624																																																							
AUR62010619																																																							
AUR62010621																																																							
AUR62010622																																																							
AUR62010633																																																							
AUR62010629																																																							
AUR62010630																																																							
AUR62010631																																																							
AUR62010632																																																							
AUR62010634																																																							
AUR62010638																																																							
AUR62010636																																																							
AUR62010639																																																							
AUR62010635																																																							
AUR62010640																																																							
AUR62010643																																																							
AUR62010644																																																							
AUR62010642																																																							
AUR62010641																																																							
AUR62010646																																																							
AUR62010647																																																							
AUR62010648																																																							
AUR62010649																																																							
AUR62010650																																																							
AUR62010651																																																							
AUR62010652																																																							
AUR62010653																																																							
AUR62010655																																																							
AUR62010654																																																							
AUR62010658																																																							
AUR62010660																																																							
AUR62010661																																																							
AUR62010659																																																							
AUR62010657																																																							
AUR62010656																																																							
AUR62010662																																																							
AUR62010664																																																							
AUR62010665																																																							
AUR62010666																																																							
AUR62010663																																																							
AUR62010668																																																							
AUR62010671																																																							
AUR62010667																																																							
AUR62010669																																																							
AUR62010672																																																							
AUR62010670																																																							
AUR62010673																																																							
AUR62010676																																																							
AUR62010680																																																							
AUR62010674																																																							
AUR62010677																																																							
AUR62010679																																																							
AUR62010678																																																							
AUR62010681																																																							
AUR62010684																																																							
AUR62010683																																																							
AUR62010682																																																							
AUR62010686																																																							
AUR62010691																																																							
AUR62010690																																																							
AUR62010685																																																							
AUR62010689																																																							
AUR62010688																																																							
AUR62010692																																																							
AUR62010693																																																							
AUR62010701																																																							
AUR62010695																																																							
AUR62010699																																																							
AUR62010694																																																							
AUR62010700																																																							
AUR62010696																																																							
AUR62010697																																																							
AUR62010698																																																							
AUR62010703																																																							
AUR62010704																																																							
AUR62010705																																																							
AUR62010706																																																							
AUR62010707																																																							
AUR62010710																																																							
AUR62010713																																																							
AUR62010715																																																							
AUR62010709																																																							
AUR62010712																																																							
AUR62010714																																																							
AUR62010711																																																							
AUR62010716																																																							
AUR62010717																																																							
AUR62010719																																																							
AUR62010718																																																							
AUR62010720																																																							
AUR62010721																																																							
AUR62010731																																																							
AUR62010723																																																							
AUR62010726																																																							
AUR62010729																																																							
AUR62010728																																																							
AUR62010724																																																							
AUR62010727																																																							
AUR62010730																																																							
AUR62010725																																																							
AUR62010732																																																							
AUR62010735																																																							
AUR62010734																																																							
AUR62010733																																																							
AUR62010739																																																							
AUR62010736																																																							
AUR62010738																																																							
AUR62010737																																																							
AUR62010740																																																							
AUR62010743																																																							
AUR62010745																																																							
AUR62010747																																																							
AUR62010741																																																							
AUR62010746																																																							
AUR62010742																																																							
AUR62010749																																																							
AUR62010754																																																							
AUR62010751																																																							
AUR62010752																																																							
AUR62010750																																																							
AUR62010753																																																							
AUR62010759																																																							
AUR62010757																																																							
AUR62010755																																																							
AUR62010760																																																							
AUR62010756																																																							
AUR62010758																																																							
AUR62010761																																																							
AUR62010762																																																							
AUR62010764																																																							
AUR62010763																																																							
AUR62010768																																																							
AUR62010765																																																							
AUR62010769																																																							
AUR62010770																																																							
AUR62010766																																																							
AUR62010779																																																							
AUR62010776																																																							
AUR62010773																																																							
AUR62010774																																																							
AUR62010775																																																							
AUR62010777																																																							
AUR62010772																																																							
AUR62010778																																																							
AUR62010784																																																							
AUR62010783																																																							
AUR62010781																																																							
AUR62010780																																																							
AUR62010785																																																							
AUR62010782																																																							
AUR62010788																																																							
AUR62010791																																																							
AUR62010790																																																							
AUR62010787																																																							
AUR62010789																																																							
AUR62010786																																																							
AUR62010798																																																							
AUR62010797																																																							
AUR62010799																																																							
AUR62010796																																																							
AUR62010795																																																							
AUR62010793																																																							
AUR62010792																																																							
AUR62010794																																																							
AUR62010804																																																							
AUR62010801																																																							
AUR62010806																																																							
AUR62010805																																																							
AUR62010803																																																							
AUR62010800																																																							
AUR62010802																																																							
AUR62010807																																																							
AUR62010808																																																							
AUR62010809																																																							
AUR62010813																																																							
AUR62010811																																																							
AUR62010814																																																							
AUR62010810																																																							
AUR62010812																																																							
AUR62010825																																																							
AUR62010816																																																							
AUR62010818																																																							
AUR62010815																																																							
AUR62010824																																																							
AUR62010822																																																							
AUR62010823																																																							
AUR62010821																																																							
AUR62010826																																																							
AUR62010817																																																							
AUR62010827																																																							
AUR62010830																																																							
AUR62010832																																																							
AUR62010831																																																							
AUR62010828																																																							
AUR62010829																																																							
AUR62010841																																																							
AUR62010833																																																							
AUR62010836																																																							
AUR62010840																																																							
AUR62010839																																																							
AUR62010837																																																							
AUR62010835																																																							
AUR62010838																																																							
AUR62010834																																																							
AUR62010845																																																							
AUR62010850																																																							
AUR62010847																																																							
AUR62010842																																																							
AUR62010849																																																							
AUR62010851																																																							
AUR62010855																																																							
AUR62010858																																																							
AUR62010852																																																							
AUR62010859																																																							
AUR62010854																																																							
AUR62010853																																																							
AUR62010856																																																							
AUR62010857																																																							
AUR62010861																																																							
AUR62010862																																																							
AUR62010864																																																							
AUR62010865																																																							
AUR62010866																																																							
AUR62010867																																																							
AUR62010868																																																							
AUR62010869																																																							
AUR62043834																																																							
AUR62043835																																																							
AUR62043833																																																							
AUR62043832																																																							
AUR62040793																																																							
AUR62040799																																																							
AUR62040796																																																							
AUR62040798																																																							
AUR62040797																																																							
AUR62040803																																																							
AUR62040800																																																							
AUR62040802																																																							
AUR62040801																																																							
AUR62040806																																																							
AUR62040805																																																							
AUR62040813																																																							
AUR62040807																																																							
AUR62040808																																																							
AUR62040816																																																							
AUR62040815																																																							
AUR62040814																																																							
AUR62040817																																																							
AUR62040818																																																							
AUR62040820																																																							
AUR62040822																																																							
AUR62040819																																																							
AUR62040825																																																							
AUR62040824																																																							
AUR62040823																																																							
AUR62038116																																																							
AUR62038117																																																							
AUR62038120																																																							
AUR62038118																																																							
AUR62038119																																																							
AUR62038115																																																							
AUR62038112																																																							
AUR62038113																																																							
AUR62038124																																																							
AUR62038127																																																							
AUR62038131																																																							
AUR62038128																																																							
AUR62038132																																																							
AUR62038125																																																							
AUR62038129																																																							
AUR62038121																																																							
AUR62038123																																																							
AUR62038122																																																							
AUR62038126																																																							
AUR62038140																																																							
AUR62038134																																																							
AUR62038133																																																							
AUR62038136																																																							
AUR62038137																																																							
AUR62038141																																																							
AUR62038138																																																							
AUR62038139																																																							
AUR62038145																																																							
AUR62038143																																																							
AUR62038142																																																							
AUR62038151																																																							
AUR62038159																																																							
AUR62038149																																																							
AUR62038146																																																							
AUR62038147																																																							
AUR62038152																																																							
AUR62038154																																																							
AUR62038156																																																							
AUR62038150																																																							
AUR62038148																																																							
AUR62038158																																																							
AUR62038155																																																							
AUR62038160																																																							
AUR62044411																																																							
AUR62044412																																																							
AUR62044458																																																							
AUR62044457																																																							
AUR62044283																																																							
AUR62034944																																																							
AUR62034945																																																							
AUR62034948																																																							
AUR62034946																																																							
AUR62034949																																																							
AUR62034947																																																							
AUR62034951																																																							
AUR62034950																																																							
AUR62034952																																																							
AUR62034954																																																							
AUR62034953																																																							
AUR62034957																																																							
AUR62034956																																																							
AUR62034955																																																							
AUR62034959																																																							
AUR62034960																																																							
AUR62034962																																																							
AUR62034963																																																							
AUR62034965																																																							
AUR62034966																																																							
AUR62034967																																																							
AUR62034968																																																							
AUR62034969																																																							
AUR62034970																																																							
AUR62034971																																																							
AUR62034972																																																							
AUR62034975																																																							
AUR62034973																																																							
AUR62034974																																																							
AUR62034976																																																							
AUR62034977																																																							
AUR62034978																																																							
AUR62034979																																																							
AUR62034980																																																							
AUR62034982																																																							
AUR62034981																																																							
AUR62034983																																																							
AUR62034985																																																							
AUR62034984																																																							
AUR62034986																																																							
AUR62034987																																																							
AUR62034989																																																							
AUR62034988																																																							
AUR62034990																																																							
AUR62034991																																																							
AUR62034992																																																							
AUR62034993																																																							
AUR62034995																																																							
AUR62034996																																																							
AUR62034997																																																							
AUR62034998																																																							
AUR62034999																																																							
AUR62035000																																																							
AUR62035002																																																							
AUR62035003																																																							
AUR62035001																																																							
AUR62035004																																																							
AUR62035007																																																							
AUR62035006																																																							
AUR62035008																																																							
AUR62035009																																																							
AUR62035011																																																							
AUR62035010																																																							
AUR62035012																																																							
AUR62035015																																																							
AUR62035013																																																							
AUR62035016																																																							
AUR62035014																																																							
AUR62035018																																																							
AUR62035017																																																							
AUR62035020																																																							
AUR62035022																																																							
AUR62035024																																																							
AUR62035023																																																							
AUR62035021																																																							
AUR62035027																																																							
AUR62035031																																																							
AUR62035028																																																							
AUR62035030																																																							
AUR62035029																																																							
AUR62035026																																																							
AUR62035025																																																							
AUR62044757																																																							
AUR62043198																																																							
AUR62043203																																																							
AUR62043201																																																							
AUR62043202																																																							
AUR62043197																																																							
AUR62043193																																																							
AUR62043192																																																							
AUR62043196																																																							
AUR62043204																																																							
AUR62043194																																																							
AUR62043200																																																							
AUR62043195																																																							
AUR62044596																																																							
AUR62043718																																																							
AUR62043717																																																							
AUR62043719																																																							
AUR62034193																																																							
AUR62034192																																																							
AUR62034194																																																							
AUR62034195																																																							
AUR62034199																																																							
AUR62034197																																																							
AUR62034198																																																							
AUR62034203																																																							
AUR62034201																																																							
AUR62034202																																																							
AUR62034200																																																							
AUR62034196																																																							
AUR62034205																																																							
AUR62034210																																																							
AUR62034207																																																							
AUR62034208																																																							
AUR62034209																																																							
AUR62034204																																																							
AUR62034206																																																							
AUR62034215																																																							
AUR62034213																																																							
AUR62034212																																																							
AUR62034214																																																							
AUR62034211																																																							
AUR62034218																																																							
AUR62034217																																																							
AUR62034221																																																							
AUR62034222																																																							
AUR62034223																																																							
AUR62034220																																																							
AUR62034225																																																							
AUR62034226																																																							
AUR62034227																																																							
AUR62034224																																																							
AUR62034230																																																							
AUR62034229																																																							
AUR62034228																																																							
AUR62034232																																																							
AUR62034233																																																							
AUR62034234																																																							
AUR62034231																																																							
AUR62034235																																																							
AUR62034236																																																							
AUR62034237																																																							
AUR62034238																																																							
AUR62034246																																																							
AUR62034245																																																							
AUR62034242																																																							
AUR62034243																																																							
AUR62034240																																																							
AUR62034244																																																							
AUR62034247																																																							
AUR62034248																																																							
AUR62034251																																																							
AUR62034249																																																							
AUR62034255																																																							
AUR62034252																																																							
AUR62034254																																																							
AUR62034250																																																							
AUR62034253																																																							
AUR62034256																																																							
AUR62034262																																																							
AUR62034263																																																							
AUR62034257																																																							
AUR62034264																																																							
AUR62034261																																																							
AUR62034258																																																							
AUR62034265																																																							
AUR62034269																																																							
AUR62034267																																																							
AUR62034266																																																							
AUR62034268																																																							
AUR62034271																																																							
AUR62034270																																																							
AUR62034272																																																							
AUR62034277																																																							
AUR62034275																																																							
AUR62034274																																																							
AUR62034273																																																							
AUR62034276																																																							
AUR62034279																																																							
AUR62034278																																																							
AUR62034283																																																							
AUR62034284																																																							
AUR62034280																																																							
AUR62034286																																																							
AUR62034285																																																							
AUR62034281																																																							
AUR62034288																																																							
AUR62034287																																																							
AUR62034295																																																							
AUR62034290																																																							
AUR62034292																																																							
AUR62034294																																																							
AUR62034291																																																							
AUR62034298																																																							
AUR62034297																																																							
