Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
AUR62002660	AUR62002731	AUR62002958	AUR62002735	AUR62005434	AUR62002770	AUR62002731	AUR62003295	AUR62002809	AUR62005434	AUR62003098	AUR62002735	AUR62023207	AUR62029176		AUR62005434	AUR62044050	AUR62039989	AUR62042233	AUR62032260	AUR62028527	AUR62011575	AUR62044703	AUR62039482	AUR62013723	AUR62029877		AUR62041623	AUR62035619			AUR62044762		AUR62007412	AUR62030017	AUR62014497	AUR62003498	AUR62028071	AUR62038945	AUR62005671			AUR62022706	AUR62000314	AUR62000132		AUR62023140	AUR62004216			AUR62017940	AUR62007047		AUR62009522	AUR62013810	
AUR62002659	AUR62002735	AUR62003041	AUR62002770	AUR62005503	AUR62002773	AUR62002735	AUR62003304	AUR62002850	AUR62005503	AUR62003321	AUR62002760	AUR62010522	AUR62011944		AUR62005503	AUR62044051	AUR62013851	AUR62023375	AUR62033448	AUR62011576	AUR62011572	AUR62044702	AUR62012916	AUR62028361	AUR62026155		AUR62032707	AUR62034384			AUR62013810		AUR62000765	AUR62019873	AUR62021595	AUR62033861	AUR62030960	AUR62038966	AUR62005819			AUR62026998	AUR62037752	AUR62003524		AUR62005411	AUR62020876			AUR62041623	AUR62000122		AUR62007629	AUR62037623	
AUR62002661	AUR62002753	AUR62003053	AUR62002773	AUR62005687	AUR62002803	AUR62002759	AUR62006007	AUR62002885	AUR62005687	AUR62006005	AUR62002770	AUR62010525	AUR62000718		AUR62005687	AUR62028634	AUR62023510	AUR62013622	AUR62031965	AUR62008267	AUR62006750	AUR62023991	AUR62013066	AUR62039653	AUR62004936		AUR62032438	AUR62024319			AUR62037623		AUR62009520	AUR62019945	AUR62037980	AUR62036161	AUR62042861	AUR62027623	AUR62010064			AUR62003561	AUR62040205	AUR62009677		AUR62038130	AUR62025336			AUR62017565	AUR62043070		AUR62007761	AUR62015690	
AUR62002663	AUR62002759	AUR62003048	AUR62002774	AUR62010099	AUR62002807	AUR62002760	AUR62006089	AUR62002913	AUR62010099	AUR62006007	AUR62002773	AUR62013283	AUR62034097		AUR62010099	AUR62008836	AUR62013349	AUR62013781	AUR62038681	AUR62017433	AUR62029880	AUR62008524	AUR62013136	AUR62024783	AUR62004276		AUR62004635	AUR62022324			AUR62015690		AUR62043182	AUR62014497	AUR62018859	AUR62040078	AUR62012865	AUR62027706	AUR62010844			AUR62003760	AUR62003566	AUR62012582		AUR62023285	AUR62040267			AUR62017564	AUR62035620		AUR62001379	AUR62025581	
AUR62002667	AUR62002760	AUR62003098	AUR62002781	AUR62010386	AUR62002809	AUR62002770	AUR62006180	AUR62002919	AUR62010386	AUR62006107	AUR62002774	AUR62038089	AUR62023806		AUR62010386	AUR62040732	AUR62021714	AUR62024869	AUR62022763	AUR62030679	AUR62016389	AUR62017400	AUR62013191	AUR62025794	AUR62020876		AUR62004636	AUR62041644			AUR62025581		AUR62043457	AUR62014523	AUR62031174	AUR62014837	AUR62015399	AUR62035097	AUR62040811			AUR62030838	AUR62020254	AUR62001880		AUR62041195				AUR62032008	AUR62035619		AUR62035695	AUR62031623	
AUR62002664	AUR62002770	AUR62003111	AUR62002809	AUR62010767	AUR62002850	AUR62002773	AUR62006176	AUR62002937	AUR62010767	AUR62006149	AUR62002781	AUR62018844	AUR62038547		AUR62010767	AUR62037018	AUR62025583	AUR62038855	AUR62007498	AUR62042907	AUR62027805	AUR62009382	AUR62013213	AUR62025829				AUR62041650			AUR62031623		AUR62035268	AUR62023618	AUR62029150	AUR62017813	AUR62028826	AUR62033717	AUR62038135			AUR62007704	AUR62009823	AUR62014619		AUR62013632				AUR62004635	AUR62019303		AUR62035407	AUR62033498	
AUR62002666	AUR62002773	AUR62003145	AUR62002812	AUR62023305	AUR62002885	AUR62002774	AUR62006326	AUR62003022	AUR62023305	AUR62006176	AUR62002809	AUR62007162	AUR62038558		AUR62023305	AUR62021886	AUR62031649	AUR62025834	AUR62011945		AUR62018959	AUR62031980	AUR62038944	AUR62038110				AUR62018586			AUR62033498		AUR62034086	AUR62021595	AUR62022608	AUR62011660	AUR62028836	AUR62032155	AUR62023310			AUR62028895	AUR62007866	AUR62017838		AUR62013887				AUR62004636	AUR62041644		AUR62029292	AUR62033529	
AUR62002665	AUR62002774	AUR62003295	AUR62002850	AUR62023429	AUR62002913	AUR62002781	AUR62006451	AUR62003059	AUR62023429	AUR62006269	AUR62002812	AUR62007412	AUR62029049		AUR62023429	AUR62021977	AUR62008759	AUR62025859	AUR62012065		AUR62004632	AUR62030327	AUR62038966	AUR62021530				AUR62020832			AUR62033529		AUR62042997	AUR62008980	AUR62022692	AUR62016483	AUR62021340	AUR62032156	AUR62023308			AUR62029237	AUR62001528	AUR62019263		AUR62028324					AUR62041650		AUR62028417	AUR62018617	
AUR62002670	AUR62002781	AUR62003304	AUR62002880	AUR62039989	AUR62002919	AUR62002782	AUR62042574	AUR62003083	AUR62039989	AUR62042566	AUR62002850	AUR62000765	AUR62028071		AUR62039989	AUR62007027	AUR62008830	AUR62021565	AUR62018194			AUR62018340	AUR62027713	AUR62030203							AUR62018617		AUR62027320	AUR62037980	AUR62007082	AUR62016832	AUR62014142	AUR62035536	AUR62023307			AUR62014099	AUR62025395	AUR62019312		AUR62028361					AUR62011322		AUR62028415	AUR62038698	
AUR62002668	AUR62002782	AUR62003321	AUR62002885	AUR62013725	AUR62002937	AUR62002803	AUR62043158	AUR62003082	AUR62013725	AUR62042568	AUR62002880	AUR62009520	AUR62042861		AUR62013725	AUR62040348	AUR62008935	AUR62031745	AUR62000640			AUR62027358	AUR62033717	AUR62031873							AUR62038698		AUR62016099	AUR62018859	AUR62007152	AUR62040646	AUR62014143	AUR62023017	AUR62028300			AUR62014194	AUR62017881	AUR62011238		AUR62029962					AUR62011331		AUR62038021	AUR62029200	
AUR62002669	AUR62002803	AUR62006005	AUR62002913	AUR62013851	AUR62002958	AUR62002809	AUR62038368	AUR62003087	AUR62013851	AUR62038368	AUR62002885	AUR62043182	AUR62012865		AUR62013851	AUR62018052	AUR62008996	AUR62037821	AUR62037745			AUR62027419	AUR62040786	AUR62022701							AUR62029200		AUR62011340	AUR62031174	AUR62019642	AUR62017033	AUR62011461	AUR62023085	AUR62019843			AUR62017875	AUR62011659	AUR62032349		AUR62019911					AUR62016730		AUR62036707	AUR62021912	
AUR62002671	AUR62002807	AUR62006007	AUR62002919	AUR62019890	AUR62003022	AUR62002812	AUR62038376	AUR62003086	AUR62019890	AUR62039460	AUR62002913	AUR62043457	AUR62015399		AUR62019890	AUR62000416	AUR62018609	AUR62032260	AUR62037782				AUR62032214	AUR62022700							AUR62021912		AUR62006748	AUR62029150	AUR62019712	AUR62017069	AUR62008208	AUR62023099	AUR62019996			AUR62022518	AUR62036844	AUR62024202		AUR62024839					AUR62016738		AUR62041944	AUR62007372	
AUR62002672	AUR62002809	AUR62006089	AUR62002921	AUR62044050	AUR62003041	AUR62002850	AUR62039467	AUR62003155	AUR62044050	AUR62039491	AUR62002919	AUR62035268	AUR62015427		AUR62044050	AUR62000798	AUR62018856	AUR62033448	AUR62029587				AUR62040950	AUR62001018							AUR62007372		AUR62017370	AUR62022608	AUR62023677	AUR62004702	AUR62017645	AUR62005554	AUR62015635			AUR62039526	AUR62008430	AUR62044485		AUR62024915					AUR62040658		AUR62030629	AUR62007518	
AUR62002673	AUR62002812	AUR62006107	AUR62002930	AUR62044051	AUR62003048	AUR62002860	AUR62039482	AUR62003173	AUR62044051	AUR62012953	AUR62002921	AUR62034086	AUR62021340		AUR62044051	AUR62001080	AUR62038661	AUR62031965	AUR62003480				AUR62035536	AUR62035620							AUR62007518		AUR62017375	AUR62022692	AUR62035622	AUR62002594	AUR62017386	AUR62005669	AUR62015875			AUR62008046	AUR62006659	AUR62004366		AUR62025794					AUR62017060		AUR62017112	AUR62012429	
