Effect	DFn	DFd	F	p	p<.05	ges
Targeting	5	87996	4.311	0.000637	*	0.000245
dipMom	1	87996	29909.918	0	*	0.254
dipDad	1	87996	579.433	1.29e-127	*	0.007
Targeting:dipMom	5	87996	6.29	7.65e-06	*	0.000357
Targeting:dipDad	5	87996	6.592	3.84e-06	*	0.000374
dipMom:dipDad	1	87996	1182.977	1.58e-257	*	0.013
Targeting:dipMom:dipDad	5	87996	12.461	4.1e-12	*	0.000708
