response	term	estimate	std.error	statistic	p.value
tetMom	(Intercept)	5.68444254603688	0.0106453870252249	533.981764361151	0
tetMom	DI	1.03653063803957	0.158685968378715	6.5319615126009	6.52644324031341e-11
tetMom	DNI	1.72174709067566	0.0424152905400302	40.5926039584882	0
tetMom	MI	-0.0917762853946883	0.0821165501863012	-1.11763444989435	0.263726187023888
tetMom	MNI	0.545687810861928	0.128698124464405	4.2400603204816	2.2368639601391e-05
tetMom	PI	2.75174044047738	0.0860063039458536	31.9946366048909	2.46633818842346e-223
tetMom	PNI	1.65197190641944	0.0540563131482727	30.5602030587657	4.82049251558456e-204
tetMom	deltaMomDad	0.299224350219963	0.00581074369706329	51.4950178186638	0
tetMom	DI:deltaMomDad	-0.090854309348442	0.104752841697681	-0.867320712985042	0.385768665428136
tetMom	DNI:deltaMomDad	0.10288359667435	0.029083590167098	3.5375136316816	0.000404120191636236
tetMom	MI:deltaMomDad	-0.125811875986777	0.0578305369886161	-2.17552667739438	0.0295933118098153
tetMom	MNI:deltaMomDad	0.0954003300153846	0.0835795249024012	1.14143182946765	0.253693357879577
tetMom	PI:deltaMomDad	0.236310397513874	0.0645493451861336	3.66092633213323	0.000251451338062498
tetMom	PNI:deltaMomDad	0.0433107011892971	0.0374524459015923	1.15641849675446	0.247513144995068
tetDad	(Intercept)	5.31557334972588	0.0106452304550867	499.338494563626	0
tetDad	DI	0.907770422535482	0.158683634458499	5.72063039539779	1.06470903819182e-08
tetDad	DNI	1.84425145014252	0.0424146667047592	43.4814556714548	0
tetDad	MI	-0.17748356856265	0.0821153424331612	-2.16139351433765	0.0306676308389088
tetDad	MNI	0.491609126768431	0.12869623159916	3.81991858393809	0.000133586929088307
tetDad	PI	2.9410078912243	0.0860050389830244	34.1957625506663	1.30109605281041e-254
tetDad	PNI	1.74026382861502	0.0540555180992626	32.1940088599162	4.39011645957266e-226
tetDad	deltaMomDad	-0.202859841815683	0.00581065823385363	-34.9116801662496	3.20068226516337e-265
tetDad	DI:deltaMomDad	-0.119855745194164	0.104751301014674	-1.14419338025572	0.252546546441086
tetDad	DNI:deltaMomDad	0.0893299926485226	0.0290831624117032	3.07153642317026	0.00213024851917121
tetDad	MI:deltaMomDad	-0.254263322060136	0.0578296864291068	-4.39676120969179	1.10006109912795e-05
tetDad	MNI:deltaMomDad	-0.0423144242286078	0.0835782956321334	-0.506284842357316	0.612657965033025
tetDad	PI:deltaMomDad	0.191761779473895	0.0645483958077908	2.97082176983785	0.00297083941739768
tetDad	PNI:deltaMomDad	0.00773736001420663	0.0374518950588081	0.206594619632924	0.836326938411444
