species	category	direction	sided	DE	nDE
AD2SA	cp	up	less_SIGNIF	0	77
AD2SA	DI	both	less_notSig	25	51
AD2SA	DI	down	less_notSig	9	67
AD2SA	DI	up	greater_notSig	16	60
AD2SA	DN	both	less_notSig	397	694
AD2SA	DN	down	less_SIGNIF	163	928
AD2SA	DN	up	greater_notSig	234	857
AD2SA	MI	both	less_notSig	117	207
AD2SA	MI	down	less_SIGNIF	21	303
AD2SA	MI	up	greater_SIGNIF	96	228
AD2SA	MN	both	greater_notSig	59	75
AD2SA	MN	down	less_notSig	18	116
AD2SA	MN	up	greater_SIGNIF	41	93
AD2SA	mt	both	greater_SIGNIF	22	13
AD2SA	mt	down	two.sided_SIGNIF	22	13
AD2SA	mt	up	less_SIGNIF	0	35
AD2SA	NT	both	NA_notSig	6177	10117
AD2SA	NT	down	NA_notSig	2803	13491
AD2SA	NT	up	NA_notSig	3374	12920
AD2SA	PI	both	less_SIGNIF	59	187
AD2SA	PI	down	less_SIGNIF	19	227
AD2SA	PI	up	less_SIGNIF	40	206
AD2SA	PN	both	greater_notSig	243	384
AD2SA	PN	down	less_notSig	100	527
AD2SA	PN	up	greater_notSig	143	484
AD2SD	cp	both	less_SIGNIF	24	53
AD2SD	cp	down	less_SIGNIF	0	77
AD2SD	cp	up	greater_SIGNIF	24	53
AD2SD	DI	both	less_SIGNIF	24	52
AD2SD	DI	down	less_SIGNIF	3	73
AD2SD	DI	up	greater_notSig	21	55
AD2SD	DN	both	less_notSig	437	654
AD2SD	DN	down	less_SIGNIF	146	945
AD2SD	DN	up	greater_SIGNIF	291	800
AD2SD	MI	both	less_notSig	124	200
AD2SD	MI	down	less_SIGNIF	33	291
AD2SD	MI	up	greater_SIGNIF	91	233
AD2SD	MN	both	greater_notSig	59	75
AD2SD	MN	down	less_notSig	23	111
AD2SD	MN	up	greater_notSig	36	98
AD2SD	mt	both	greater_notSig	20	15
AD2SD	mt	down	greater_SIGNIF	15	20
AD2SD	mt	up	less_notSig	5	30
AD2SD	NT	both	NA_notSig	6883	9411
AD2SD	NT	down	NA_notSig	3223	13071
AD2SD	NT	up	NA_notSig	3660	12634
AD2SD	PI	both	less_SIGNIF	88	158
AD2SD	PI	down	less_SIGNIF	14	232
AD2SD	PI	up	greater_SIGNIF	74	172
AD2SD	PN	both	greater_notSig	265	362
AD2SD	PN	down	less_SIGNIF	87	540
AD2SD	PN	up	greater_SIGNIF	178	449
