Effect	DFn	DFd	F	p	p<.05	ges
Targeting	6	39246	0.015	1		2.34e-06
dipRatio	1	39246	0.071	0.79		1.81e-06
Targeting:dipRatio	6	39246	0.021	1		3.14e-06
