gene	Targeting	plantID	dipDelta	tetDelta
AUR62023502_AUR62004448	Not-organelle-targeted	Plant2	4.90794009569503	1.55647296418509
AUR62023502_AUR62004448	Not-organelle-targeted	Plant3	4.52557229284491	-0.0990610201746396
AUR62023502_AUR62004448	Not-organelle-targeted	Plant4	3.71821359587364	0.97127325893457
AUR62023502_AUR62004448	Not-organelle-targeted	Plant5	3.89938560417097	0.85540150303105
AUR62010792_AUR62019788	Not-organelle-targeted	Plant2	-0.264384469792011	-0.74852522068218
AUR62010792_AUR62019788	Not-organelle-targeted	Plant3	-0.42115787589127	-1.13705656002833
AUR62010792_AUR62019788	Not-organelle-targeted	Plant4	0.19810855213086	-1.03505775100798
AUR62010792_AUR62019788	Not-organelle-targeted	Plant5	0.19757903468434	-0.96234082688393
AUR62001712_AUR62020068	Not-organelle-targeted	Plant2	4.03634329457855	0.543279550208728
AUR62001712_AUR62020068	Not-organelle-targeted	Plant3	3.32438362320794	0.800483433315462
AUR62001712_AUR62020068	Not-organelle-targeted	Plant4	2.18412883599684	0.58656465289468
AUR62001712_AUR62020068	Not-organelle-targeted	Plant5	1.9239251327788	0.48224273036057
AUR62033900_AUR62041904	Not-organelle-targeted	Plant2	2.89476532286897	0.9790134194767
AUR62033900_AUR62041904	Not-organelle-targeted	Plant3	1.95393278221625	0.72822932982914
AUR62033900_AUR62041904	Not-organelle-targeted	Plant4	1.06511980561853	1.28550535811332
AUR62033900_AUR62041904	Not-organelle-targeted	Plant5	0.55524813612141	0.87257818868998
AUR62000222_AUR62006568	Not-organelle-targeted	Plant2	0.396534682050511	-0.320381726236361
AUR62000222_AUR62006568	Not-organelle-targeted	Plant3	0.71130402906226	-0.0213686970364986
AUR62000222_AUR62006568	Not-organelle-targeted	Plant4	-0.314788001136531	0.1939742753025
AUR62000222_AUR62006568	Not-organelle-targeted	Plant5	-0.27927343674834	-0.0100962909887397
AUR62018378_AUR62030284	Not-organelle-targeted	Plant2	2.13681644170932	0.0712796708302399
AUR62018378_AUR62030284	Not-organelle-targeted	Plant3	2.11187227844803	0.0899486087011496
AUR62018378_AUR62030284	Not-organelle-targeted	Plant4	2.14605760564614	0.30387586666425
AUR62018378_AUR62030284	Not-organelle-targeted	Plant5	1.79250602465677	0.42291790803864
AUR62002122_AUR62028241	Not-organelle-targeted	Plant2	-0.412319288131649	0.184011506256851
AUR62002122_AUR62028241	Not-organelle-targeted	Plant3	-0.120236291524231	0.38393025844081
AUR62002122_AUR62028241	Not-organelle-targeted	Plant4	-0.0174042282829703	0.301169980218409
AUR62002122_AUR62028241	Not-organelle-targeted	Plant5	-0.47378852118272	0.41608861953131
AUR62040939_AUR62004856	Not-organelle-targeted	Plant2	1.31868077753821	0.88404408640069
AUR62040939_AUR62004856	Not-organelle-targeted	Plant3	1.24135571627859	0.92676265581038
AUR62040939_AUR62004856	Not-organelle-targeted	Plant4	1.88151818706837	0.77043868857575
AUR62040939_AUR62004856	Not-organelle-targeted	Plant5	1.67718990797387	0.875223800630559
AUR62023068_AUR62009386	Not-organelle-targeted	Plant2	0.524933701709481	0.86041595741079
AUR62023068_AUR62009386	Not-organelle-targeted	Plant3	1.1011409579067	1.12677902956825
