gene	Targeting	plantID	dipRatio	tetRatio
AUR62025500_AUR62008737	Not-organelle-targeted	Plant2	0.707817852733091	-0.981815635768035
AUR62025500_AUR62008737	Not-organelle-targeted	Plant3	0.94722147455436	0.193716716234368
AUR62025500_AUR62008737	Not-organelle-targeted	Plant4	0.763063299283097	0.852653013852802
AUR62025500_AUR62008737	Not-organelle-targeted	Plant5	0.257554097285703	0.835092525296337
AUR62026848_AUR62037201	Not-organelle-targeted	Plant2	1.08917800190067	1.0604964256659
AUR62026848_AUR62037201	Not-organelle-targeted	Plant3	1.16829875113104	1.03676013787713
AUR62026848_AUR62037201	Not-organelle-targeted	Plant4	1.16718268720187	1.06151575407148
AUR62026848_AUR62037201	Not-organelle-targeted	Plant5	1.18310828329271	0.93983114370226
AUR62001508_AUR62009862	Not-organelle-targeted	Plant2	1.08101335136149	1.01960121818284
AUR62001508_AUR62009862	Not-organelle-targeted	Plant3	1.05987774530246	1.02489689107774
AUR62001508_AUR62009862	Not-organelle-targeted	Plant4	1.13988757255404	1.06545613917471
AUR62001508_AUR62009862	Not-organelle-targeted	Plant5	1.16276213542581	1.04206863762455
AUR62031563_AUR62012439	Not-organelle-targeted	Plant2	1.23407162538394	0.995206001087526
AUR62031563_AUR62012439	Not-organelle-targeted	Plant3	1.30405621173964	0.994867760262488
AUR62031563_AUR62012439	Not-organelle-targeted	Plant4	1.14693307998671	1.00621952788428
AUR62031563_AUR62012439	Not-organelle-targeted	Plant5	1.20151786049969	0.997975265177753
AUR62010123_AUR62013119	Not-organelle-targeted	Plant2	0.413256369687046	0.975234680065508
AUR62010123_AUR62013119	Not-organelle-targeted	Plant3	0.512739084572848	0.963046133221705
AUR62010123_AUR62013119	Not-organelle-targeted	Plant4	0.645909998153503	1.03174556855875
AUR62010123_AUR62013119	Not-organelle-targeted	Plant5	0.552066454678539	1.05286134504082
AUR62035808_AUR62027549	Not-organelle-targeted	Plant2	0.82121737947405	1.00119088697635
AUR62035808_AUR62027549	Not-organelle-targeted	Plant3	1.06583773182662	1.04189725225712
AUR62035808_AUR62027549	Not-organelle-targeted	Plant4	1.18722674295084	0.734217051905786
AUR62035808_AUR62027549	Not-organelle-targeted	Plant5	1.10059441752907	0.736617777550341
AUR62013344_AUR62011143	Dual-targeted_Non-interacting	Plant2	0.99459543604678	0.866242442223736
AUR62013344_AUR62011143	Dual-targeted_Non-interacting	Plant3	0.941985914424473	0.92611497062136
AUR62013344_AUR62011143	Dual-targeted_Non-interacting	Plant4	0.993830764672943	0.819243779923573
AUR62013344_AUR62011143	Dual-targeted_Non-interacting	Plant5	0.830715929956653	0.872385672582026
AUR62010671_AUR62017212	Not-organelle-targeted	Plant2	0.987168563349624	0.906743256144665
AUR62010671_AUR62017212	Not-organelle-targeted	Plant3	1.04995218681979	0.98535029667163
AUR62010671_AUR62017212	Not-organelle-targeted	Plant4	1.08030027122943	0.917040506977858
AUR62010671_AUR62017212	Not-organelle-targeted	Plant5	1.06552558265042	0.940879654045364
AUR62022602_AUR62004396	Not-organelle-targeted	Plant2	1.19741156905193	1.13176851735536
AUR62022602_AUR62004396	Not-organelle-targeted	Plant3	1.2345612405067	1.00572253342655
AUR62022602_AUR62004396	Not-organelle-targeted	Plant4	1.36866397052613	0.949716086160202
AUR62022602_AUR62004396	Not-organelle-targeted	Plant5	1.30389576162114	1.00700922520248
