Estimate	Std. Error	t value	Pr(>|t|)
(Intercept)	0.207425151159404	0.0909486083556496	2.28068526731359	0.0225733707997069
TargetingDual-targeted_Non-interacting	-0.176668144533518	0.0945762692274157	-1.86799654899377	0.0617713349002718
Targetingitochondria-targeted_Interacting	-0.224938038271305	0.106415609120173	-2.11376921234634	0.0345424048461369
Targetingitochondria-targeted_Non-interacting	-0.099381306801122	0.121170035971103	-0.820180550452447	0.412119063307843
TargetingNot-organelle-targeted	-0.174960659992925	0.091369386194852	-1.91487178889227	0.0555174213003856
TargetingPlastid-targeted_Interacting	0.0112783757126258	0.107224401996151	0.105184785390835	0.916229817284457
TargetingPlastid-targeted_Non-interacting	-0.118405804571774	0.0976783542938954	-1.21220105956652	0.225444033430255
